DIAG SET 1: ANN MEANS GLOBAL
 
TEST CASE: LU2000.FHIST.ne30_ne30_wtopo_8thMOSART_branch (yrs 1985-1993)
 
CONTROL CASE: OBS data
 
Variable    LU2000.FHIST.ne30_ne30_wtopo_8thMOSART_branch       OBS data       LU2000.FHIST.ne30_ne30_wtopo_8thMOSART_branch        RMSE
                                                     -OBS data
RESTOM             6.103            -999.000          -999.000      -999.000
RESSURF            6.104            -999.000          -999.000      -999.000
RESTOA_CERES-EBAF  6.789               0.810             5.980        10.293
RESTOA_ERBE        6.789               0.059             6.731        11.263
SOLIN_CERES-EBAF 340.331             340.104             0.228         0.611
SOLIN_CERES      340.331             341.479            -1.148         1.166
CLDTOT_ISCCP      68.925              66.800             2.125        13.523
CLDTOT_CLOUDSAT   68.925              66.824             2.101        10.993
FLDS_ISCCP       342.108             343.347            -1.238        13.015
FLNS_ISCCP        56.719              49.425             7.295        13.232
FLUT_CERES-EBAF  238.126             239.669            -1.542         6.424
FLUT_CERES       238.126             238.963            -0.837         6.725
FLUT_ERBE        238.126             233.946             4.180         7.830
FLUTC_CERES-EBAF 260.862             265.731            -4.870         5.858
FLUTC_CERES      260.862             266.878            -6.017         8.083
FLUTC_ERBE       260.862             264.429            -3.567         6.255
FLNT_CAM         236.621            -999.000          -999.000      -999.000
FSDS_ISCCP       190.961             189.390             1.571        14.712
FSNS_ISCCP       167.695             165.893             1.802        13.663
FSNS_LARYEA      167.695             154.089            13.606        39.752
FSNTOA_CERES-EBAF244.916             240.478             4.438        11.389
FSNTOA_CERES     244.916             244.691             0.225        11.091
FSNTOA_ERBE      244.916             234.004            10.911        15.888
FSNTOAC_CERES-EBAF288.427             287.624             0.803         5.767
FSNTOAC_CERES    288.427             294.702            -6.275        16.125
FSNTOAC_ERBE     288.427             289.329            -0.902        14.467
FSNT_CAM         242.724            -999.000          -999.000      -999.000
LHFLX_JRA25       83.345              87.935            -4.590        16.909
LHFLX_ERA40       83.345              82.367             0.978        15.585
LHFLX_WHOI        83.345              89.083            -5.738        24.112
LWCF_CERES-EBAF   22.735              26.063            -3.328         6.486
LWCF_CERES        22.735              27.194            -4.459         8.116
LWCF_ERBE         22.735              30.355            -7.620        10.555
PRECT_GPCP         2.853               2.674             0.179         1.035
PREH2O_NVAP       24.487              24.597            -0.110         2.168
PREH2O_AIRS       24.487              20.425             4.062         4.794
PREH2O_JRA25      24.487              20.425             4.062         4.794
PREH2O_ERAI       24.487              24.247             0.240         1.793
PREH2O_ERA40      24.487              24.948            -0.461         1.905
PSL_JRA25       1011.307            1011.280             0.027         2.164
PSL_ERAI        1011.307            1011.362            -0.055         2.439
PSL_MERRA       1011.307            1010.850             0.456         2.496
SHFLX_JRA25       21.526              19.372             2.155        10.822
SHFLX_LARYEA      21.526              13.236             8.290        11.039
STRESS_MAG_ERS     0.068               0.064             0.004         0.024
STRESS_MAG_MERRA   0.068               0.065             0.003         0.016
STRESS_MAG_LARYEA  0.068               0.071            -0.003         0.022
STRESS_MAG_JRA25   0.068               0.080            -0.012         0.022
SWCF_CERES-EBAF  -43.511             -47.146             3.635        11.841
SWCF_CERES       -43.511             -48.586             5.075        14.590
SWCF_ERBE        -43.511             -54.163            10.652        17.791
AODVIS             0.142            -999.000          -999.000      -999.000
AODDUST            0.036            -999.000          -999.000      -999.000
SST_HADISST       20.181              20.214            -0.033         0.147
SST_HADISST_PI    20.578              20.242             0.336         0.443
SST_HADISST_PD    20.189              20.332            -0.143         0.346
TREFHT_LEGATES   287.168             287.645            -0.477         3.306
TREFHT_JRA25     287.168             287.605            -0.437         1.480
TS_MERRA         288.302             288.251             0.050         1.492
TS_NCEP          288.302             287.683             0.619         1.709
TS_LAND_NCEP     282.327             281.155             1.172         2.835
U_200_JRA25       15.252              15.565            -0.313         3.127
U_200_MERRA       15.252              15.453            -0.200         2.974
Z3_500_JRA25      56.646              56.601             0.045         0.237
Z3_500_MERRA      56.646              56.601             0.045         0.233
