DIAG SET 1: DJF MEANS GLOBAL
 
TEST CASE: LU2000.FHIST.ne30_ne30_wtopo_8thMOSART_branch (yrs 1985-1993)
 
CONTROL CASE: OBS data
 
Variable    LU2000.FHIST.ne30_ne30_wtopo_8thMOSART_branch       OBS data       LU2000.FHIST.ne30_ne30_wtopo_8thMOSART_branch        RMSE
                                                     -OBS data
RESTOM            12.793            -999.000          -999.000      -999.000
RESSURF           12.221            -999.000          -999.000      -999.000
RESTOA_CERES-EBAF 13.485               7.566             5.919        13.459
RESTOA_ERBE       13.485               7.330             6.156        14.681
SOLIN_CERES-EBAF 350.553             350.032             0.521         1.369
SOLIN_CERES      350.553             351.585            -1.031         2.349
CLDTOT_ISCCP      70.011              67.302             2.709        15.059
CLDTOT_CLOUDSAT   70.011              67.086             2.925        13.189
FLDS_ISCCP       334.189             336.180            -1.991        14.158
FLNS_ISCCP        55.630              48.408             7.222        14.328
FLUT_CERES-EBAF  235.820             236.771            -0.951         8.248
FLUT_CERES       235.820             235.838            -0.018         9.076
FLUT_ERBE        235.820             231.328             4.492         9.892
FLUTC_CERES-EBAF 257.949             262.581            -4.632         6.580
FLUTC_CERES      257.949             263.664            -5.715         8.606
FLUTC_ERBE       257.949             261.152            -3.203         8.068
FLNT_CAM         234.277            -999.000          -999.000      -999.000
FSDS_ISCCP       196.259             195.732             0.527        18.914
FSNS_ISCCP       171.073             169.925             1.148        17.693
FSNS_LARYEA      171.073             169.192             1.880        39.849
FSNTOA_CERES-EBAF249.305             244.337             4.968        15.516
FSNTOA_CERES     249.305             248.198             1.107        15.354
FSNTOA_ERBE      249.305             238.658            10.647        19.364
FSNTOAC_CERES-EBAF296.777             295.888             0.889         8.672
FSNTOAC_CERES    296.777             301.121            -4.344        14.928
FSNTOAC_ERBE     296.777             296.223             0.554        13.941
FSNT_CAM         247.070            -999.000          -999.000      -999.000
LHFLX_JRA25       83.123              87.171            -4.048        22.359
LHFLX_ERA40       83.123              81.612             1.511        22.188
LHFLX_WHOI        83.123              90.819            -7.696        32.806
LWCF_CERES-EBAF   22.129              25.810            -3.681         7.901
LWCF_CERES        22.129              27.313            -5.185        10.494
LWCF_ERBE         22.129              29.706            -7.577        12.534
PRECT_GPCP         2.836               2.673             0.163         1.279
PREH2O_NVAP       23.446              23.457            -0.011         2.735
PREH2O_AIRS       23.446              19.619             3.827         5.015
PREH2O_JRA25      23.446              19.619             3.827         5.015
PREH2O_ERAI       23.446              23.156             0.289         2.283
PREH2O_ERA40      23.446              23.787            -0.341         2.353
PSL_JRA25       1011.566            1011.403             0.163         2.843
PSL_ERAI        1011.566            1011.500             0.065         2.811
PSL_MERRA       1011.566            1011.021             0.545         3.056
SHFLX_JRA25       20.099              17.546             2.554        12.715
SHFLX_LARYEA      20.099              14.628             5.472        12.285
STRESS_MAG_ERS     0.073               0.065             0.008         0.023
STRESS_MAG_MERRA   0.073               0.073             0.000         0.020
STRESS_MAG_LARYEA  0.073               0.073             0.000         0.023
STRESS_MAG_JRA25   0.073               0.082            -0.009         0.024
SWCF_CERES-EBAF  -47.472             -51.551             4.079        14.953
SWCF_CERES       -47.472             -52.425             4.953        20.815
SWCF_ERBE        -47.472             -57.131             9.659        21.969
AODVIS             0.122            -999.000          -999.000      -999.000
AODDUST            0.022            -999.000          -999.000      -999.000
SST_HADISST       20.287              20.329            -0.043         0.180
SST_HADISST_PI    20.669              20.353             0.316         0.440
SST_HADISST_PD    20.298              20.448            -0.150         0.387
TREFHT_LEGATES   285.413             286.083            -0.670         3.381
TREFHT_JRA25     285.413             286.052            -0.639         2.015
TS_MERRA         286.499             286.309             0.191         2.148
TS_NCEP          286.499             286.195             0.305         2.138
TS_LAND_NCEP     276.520             276.314             0.206         3.667
U_200_JRA25       16.156              16.874            -0.718         4.496
U_200_MERRA       16.156              16.718            -0.562         4.214
Z3_500_JRA25      56.419              56.394             0.025         0.285
Z3_500_MERRA      56.419              56.372             0.047         0.256
