DIAG SET 1: JJA MEANS GLOBAL
 
TEST CASE: LU2000.FHIST.ne30_ne30_wtopo_8thMOSART_branch (yrs 1985-1993)
 
CONTROL CASE: OBS data
 
Variable    LU2000.FHIST.ne30_ne30_wtopo_8thMOSART_branch       OBS data       LU2000.FHIST.ne30_ne30_wtopo_8thMOSART_branch        RMSE
                                                     -OBS data
RESTOM            -3.110            -999.000          -999.000      -999.000
RESSURF           -4.248            -999.000          -999.000      -999.000
RESTOA_CERES-EBAF -2.457              -7.568             5.110        13.217
RESTOA_ERBE       -2.457              -8.981             6.524        13.935
SOLIN_CERES-EBAF 330.440             330.087             0.353         1.234
SOLIN_CERES      330.440             331.499            -1.060         1.113
CLDTOT_ISCCP      67.664              65.866             1.798        15.888
CLDTOT_CLOUDSAT   67.664              65.816             1.848        13.512
FLDS_ISCCP       351.470             351.719            -0.248        16.055
FLNS_ISCCP        55.893              48.809             7.084        15.997
FLUT_CERES-EBAF  240.922             243.311            -2.389         8.697
FLUT_CERES       240.922             242.699            -1.777         8.670
FLUT_ERBE        240.922             237.664             3.258         9.413
FLUTC_CERES-EBAF 264.168             269.451            -5.282         6.785
FLUTC_CERES      264.168             269.060            -4.891         7.770
FLUTC_ERBE       264.168             267.818            -3.649         8.683
FLNT_CAM         239.458            -999.000          -999.000      -999.000
FSDS_ISCCP       180.595             180.767            -0.172        20.942
FSNS_ISCCP       161.072             160.946             0.126        17.763
FSNS_LARYEA      161.072             137.530            23.541        44.717
FSNTOA_CERES-EBAF238.465             235.743             2.721        15.265
FSNTOA_CERES     238.465             238.808            -0.343        14.760
FSNTOA_ERBE      238.465             228.683             9.782        18.257
FSNTOAC_CERES-EBAF282.077             280.561             1.515         8.638
FSNTOAC_CERES    282.077             285.103            -3.026        10.076
FSNTOAC_ERBE     282.077             282.020             0.056        10.563
FSNT_CAM         236.348            -999.000          -999.000      -999.000
LHFLX_JRA25       86.378              90.576            -4.198        23.429
LHFLX_ERA40       86.378              84.806             1.571        21.205
LHFLX_WHOI        86.378              90.262            -3.884        30.431
LWCF_CERES-EBAF   23.246              26.139            -2.893         7.699
LWCF_CERES        23.246              26.336            -3.090         9.483
LWCF_ERBE         23.246              29.991            -6.745        12.262
PRECT_GPCP         2.950               2.704             0.247         1.537
PREH2O_NVAP       26.133              26.259            -0.125         2.812
PREH2O_AIRS       26.133              21.550             4.583         5.736
PREH2O_JRA25      26.133              21.550             4.583         5.736
PREH2O_ERAI       26.133              25.768             0.365         2.423
PREH2O_ERA40      26.133              26.495            -0.362         2.412
PSL_JRA25       1011.124            1011.154            -0.030         2.430
PSL_ERAI        1011.124            1011.229            -0.105         2.777
PSL_MERRA       1011.124            1010.638             0.487         2.803
SHFLX_JRA25       23.049              20.997             2.052        13.311
SHFLX_LARYEA      23.049              12.813            10.236        13.351
STRESS_MAG_ERS     0.078               0.068             0.010         0.028
STRESS_MAG_MERRA   0.078               0.075             0.003         0.022
STRESS_MAG_LARYEA  0.078               0.074             0.004         0.025
STRESS_MAG_JRA25   0.078               0.082            -0.004         0.021
SWCF_CERES-EBAF  -43.612             -44.818             1.206        15.495
SWCF_CERES       -43.612             -45.685             2.072        15.425
SWCF_ERBE        -43.612             -52.266             8.654        18.171
AODVIS             0.156            -999.000          -999.000      -999.000
AODDUST            0.042            -999.000          -999.000      -999.000
SST_HADISST       20.073              20.103            -0.030         0.158
SST_HADISST_PI    20.468              20.126             0.342         0.463
SST_HADISST_PD    20.088              20.230            -0.142         0.368
TREFHT_LEGATES   288.838             289.241            -0.402         3.510
TREFHT_JRA25     288.838             289.155            -0.317         1.472
TS_MERRA         289.962             290.081            -0.119         1.635
TS_NCEP          289.962             289.281             0.681         1.971
TS_LAND_NCEP     287.737             286.396             1.341         3.099
U_200_JRA25       12.400              12.836            -0.436         4.199
U_200_MERRA       12.400              12.821            -0.421         4.144
Z3_500_JRA25      56.938              56.868             0.069         0.294
Z3_500_MERRA      56.938              56.886             0.052         0.315
