DIAG SET 1: ANN MEANS NORTHERN EXTRATROPICS (90N-20N)
 
TEST CASE: LU2000.FHIST.ne30_ne30_wtopo_8thMOSART_branch (yrs 1985-1993)
 
CONTROL CASE: OBS data
 
Variable    LU2000.FHIST.ne30_ne30_wtopo_8thMOSART_branch       OBS data       LU2000.FHIST.ne30_ne30_wtopo_8thMOSART_branch        RMSE
                                                     -OBS data
RESTOM           -24.830            -999.000          -999.000      -999.000
RESSURF           -7.845            -999.000          -999.000      -999.000
RESTOA_CERES-EBAF-24.292             -29.540             5.249         9.000
RESTOA_ERBE      -24.292             -29.039             4.747         9.722
SOLIN_CERES-EBAF 305.553             304.819             0.734         0.372
SOLIN_CERES      305.553             305.738            -0.185         0.661
CLDTOT_ISCCP      66.908              65.562             1.346        13.611
CLDTOT_CLOUDSAT   66.908              62.809             4.099        12.235
FLDS_ISCCP       312.556             315.503            -2.947        13.148
FLNS_ISCCP        60.029              52.078             7.951        13.765
FLUT_CERES-EBAF  232.667             233.859            -1.191         4.355
FLUT_CERES       232.667             232.923            -0.256         4.523
FLUT_ERBE        232.667             227.565             5.102         7.191
FLUTC_CERES-EBAF 252.038             257.150            -5.112         6.275
FLUTC_CERES      252.038             259.871            -7.834        11.316
FLUTC_ERBE       252.038             254.629            -2.591         7.126
FLNT_CAM         231.186            -999.000          -999.000      -999.000
FSDS_ISCCP       167.663             162.714             4.949        16.002
FSNS_ISCCP       138.920             135.408             3.511        12.421
FSNS_LARYEA      138.920             114.976            23.943        45.961
FSNTOA_CERES-EBAF208.375             204.318             4.057         9.888
FSNTOA_CERES     208.375             207.346             1.029         9.671
FSNTOA_ERBE      208.375             198.526             9.849        14.658
FSNTOAC_CERES-EBAF247.590             246.322             1.268         7.297
FSNTOAC_CERES    247.590             258.978           -11.388        23.534
FSNTOAC_ERBE     247.590             248.851            -1.261        12.446
FSNT_CAM         206.357            -999.000          -999.000      -999.000
LHFLX_JRA25       61.158              66.113            -4.955        13.242
LHFLX_ERA40       61.158              62.197            -1.039        13.498
LHFLX_WHOI        61.158              83.610           -22.452        23.288
LWCF_CERES-EBAF   19.371              23.292            -3.921         5.695
LWCF_CERES        19.371              25.277            -5.907         8.239
LWCF_ERBE         19.371              27.000            -7.629         9.921
PRECT_GPCP         2.178               2.116             0.062         0.635
PREH2O_NVAP       17.419              17.871            -0.452         2.219
PREH2O_AIRS       17.419              13.782             3.637         3.825
PREH2O_JRA25      17.419              13.782             3.637         3.825
PREH2O_ERAI       17.419              16.947             0.472         1.260
PREH2O_ERA40      17.419              17.958            -0.540         1.272
PSL_JRA25       1015.109            1014.805             0.304         1.963
PSL_ERAI        1015.109            1014.800             0.309         2.037
PSL_MERRA       1015.109            1014.168             0.941         2.626
SHFLX_JRA25       25.578              19.966             5.612        11.355
SHFLX_LARYEA      25.578              16.553             9.025        12.740
STRESS_MAG_ERS     0.051               0.050             0.002         0.018
STRESS_MAG_MERRA   0.051               0.052            -0.001         0.014
STRESS_MAG_LARYEA  0.051               0.054            -0.003         0.018
STRESS_MAG_JRA25   0.051               0.077            -0.025         0.024
SWCF_CERES-EBAF  -39.215             -42.004             2.789         9.938
SWCF_CERES       -39.215             -47.759             8.545        14.816
SWCF_ERBE        -39.215             -49.567            10.352        16.431
AODVIS             0.152            -999.000          -999.000      -999.000
AODDUST            0.059            -999.000          -999.000      -999.000
SST_HADISST       17.826              17.915            -0.090         0.218
SST_HADISST_PI    17.850              17.688             0.161         0.410
SST_HADISST_PD    17.766              18.106            -0.339         0.543
TREFHT_LEGATES   282.386             282.859            -0.472         2.897
TREFHT_JRA25     282.386             283.000            -0.613         1.243
TS_MERRA         283.380             283.112             0.268         1.999
TS_NCEP          283.380             282.324             1.057         2.140
TS_LAND_NCEP     280.214             278.339             1.875         2.796
U_200_JRA25       17.990              18.744            -0.755         2.484
U_200_MERRA       17.990              18.851            -0.861         2.363
Z3_500_JRA25      56.153              56.157            -0.004         0.169
Z3_500_MERRA      56.153              56.116             0.036         0.167
