DIAG SET 1: DJF MEANS NORTHERN EXTRATROPICS (90N-20N)
 
TEST CASE: LU2000.FHIST.ne30_ne30_wtopo_8thMOSART_branch (yrs 1985-1993)
 
CONTROL CASE: OBS data
 
Variable    LU2000.FHIST.ne30_ne30_wtopo_8thMOSART_branch       OBS data       LU2000.FHIST.ne30_ne30_wtopo_8thMOSART_branch        RMSE
                                                     -OBS data
RESTOM          -107.777            -999.000          -999.000      -999.000
RESSURF          -79.872            -999.000          -999.000      -999.000
RESTOA_CERES-EBAF-107.638            -110.493             2.856         8.041
RESTOA_ERBE     -107.638            -105.482            -2.156         7.804
SOLIN_CERES-EBAF 165.223             164.903             0.321         0.731
SOLIN_CERES      165.223             167.165            -1.942         2.691
CLDTOT_ISCCP      72.162              67.029             5.133        15.564
CLDTOT_CLOUDSAT   72.162              64.522             7.640        15.910
FLDS_ISCCP       273.756             278.873            -5.117        18.120
FLNS_ISCCP        57.820              51.100             6.720        13.411
FLUT_CERES-EBAF  215.403             216.747            -1.343         5.660
FLUT_CERES       215.403             216.203            -0.800         6.057
FLUT_ERBE        215.403             210.878             4.525         7.503
FLUTC_CERES-EBAF 233.602             239.460            -5.858         8.105
FLUTC_CERES      233.602             241.228            -7.626        12.140
FLUTC_ERBE       233.602             235.515            -1.913        10.743
FLNT_CAM         214.236            -999.000          -999.000      -999.000
FSDS_ISCCP        88.383              84.595             3.788        13.017
FSNS_ISCCP        71.176              69.084             2.093        11.083
FSNS_LARYEA       71.176              61.648             9.528        27.522
FSNTOA_CERES-EBAF107.765             106.252             1.513         9.702
FSNTOA_CERES     107.765             108.801            -1.035        10.371
FSNTOA_ERBE      107.765             105.396             2.370        10.843
FSNTOAC_CERES-EBAF128.664             129.200            -0.536         7.648
FSNTOAC_CERES    128.664             135.158            -6.494        11.624
FSNTOAC_ERBE     128.664             131.992            -3.328        10.872
FSNT_CAM         106.459            -999.000          -999.000      -999.000
LHFLX_JRA25       68.779              69.138            -0.358        18.917
LHFLX_ERA40       68.779              66.243             2.537        19.716
LHFLX_WHOI        68.779             109.110           -40.331        38.834
LWCF_CERES-EBAF   18.199              22.713            -4.514         6.651
LWCF_CERES        18.199              24.061            -5.862        11.060
LWCF_ERBE         18.199              24.538            -6.340        11.976
PRECT_GPCP         2.182               2.099             0.083         0.705
PREH2O_NVAP       11.131              11.613            -0.483         2.014
PREH2O_AIRS       11.131               8.740             2.391         2.780
PREH2O_JRA25      11.131               8.740             2.391         2.780
PREH2O_ERAI       11.131              10.840             0.290         1.137
PREH2O_ERA40      11.131              11.494            -0.363         1.064
PSL_JRA25       1016.851            1016.119             0.732         3.582
PSL_ERAI        1016.851            1016.229             0.622         3.593
PSL_MERRA       1016.851            1015.526             1.325         4.048
SHFLX_JRA25       24.449              16.299             8.150        15.740
SHFLX_LARYEA      24.449              30.830            -6.381        13.492
STRESS_MAG_ERS     0.082               0.073             0.009         0.023
STRESS_MAG_MERRA   0.082               0.079             0.003         0.023
STRESS_MAG_LARYEA  0.082               0.085            -0.003         0.022
STRESS_MAG_JRA25   0.082               0.102            -0.020         0.031
SWCF_CERES-EBAF  -20.899             -22.948             2.049         8.713
SWCF_CERES       -20.899             -25.991             5.092        13.016
SWCF_ERBE        -20.899             -26.198             5.299        13.509
AODVIS             0.098            -999.000          -999.000      -999.000
AODDUST            0.021            -999.000          -999.000      -999.000
SST_HADISST       15.756              15.860            -0.103         0.258
SST_HADISST_PI    15.786              15.627             0.160         0.404
SST_HADISST_PD    15.727              16.036            -0.309         0.572
TREFHT_LEGATES   273.647             274.285            -0.639         4.192
TREFHT_JRA25     273.647             275.012            -1.365         2.499
TS_MERRA         274.732             274.244             0.488         3.172
TS_NCEP          274.732             274.169             0.563         2.762
TS_LAND_NCEP     266.212             265.822             0.390         3.449
U_200_JRA25       24.981              25.608            -0.626         2.784
U_200_MERRA       24.981              25.649            -0.668         2.882
Z3_500_JRA25      54.819              54.944            -0.125         0.248
Z3_500_MERRA      54.819              54.884            -0.064         0.262
