DIAG SET 1: JJA MEANS NORTHERN EXTRATROPICS (90N-20N)
 
TEST CASE: LU2000.FHIST.ne30_ne30_wtopo_8thMOSART_branch (yrs 1985-1993)
 
CONTROL CASE: OBS data
 
Variable    LU2000.FHIST.ne30_ne30_wtopo_8thMOSART_branch       OBS data       LU2000.FHIST.ne30_ne30_wtopo_8thMOSART_branch        RMSE
                                                     -OBS data
RESTOM            56.787            -999.000          -999.000      -999.000
RESSURF           62.612            -999.000          -999.000      -999.000
RESTOA_CERES-EBAF 57.601              52.524             5.077        17.020
RESTOA_ERBE       57.601              50.014             7.587        17.793
SOLIN_CERES-EBAF 445.969             444.378             1.591         1.696
SOLIN_CERES      445.969             446.695            -0.726         0.853
CLDTOT_ISCCP      62.318              64.008            -1.691        16.720
CLDTOT_CLOUDSAT   62.318              59.822             2.496        15.875
FLDS_ISCCP       356.860             358.102            -1.242        16.301
FLNS_ISCCP        57.193              49.558             7.635        19.117
FLUT_CERES-EBAF  250.552             251.843            -1.292         7.384
FLUT_CERES       250.552             251.302            -0.750         7.234
FLUT_ERBE        250.552             245.718             4.834         9.494
FLUTC_CERES-EBAF 270.984             275.905            -4.922         7.137
FLUTC_CERES      270.984             276.000            -5.017         7.544
FLUTC_ERBE       270.984             274.105            -3.121         6.725
FLNT_CAM         248.710            -999.000          -999.000      -999.000
FSDS_ISCCP       237.556             240.231            -2.675        29.398
FSNS_ISCCP       203.102             205.244            -2.142        22.694
FSNS_LARYEA      203.102             168.148            34.954        67.733
FSNTOA_CERES-EBAF308.153             304.368             3.785        18.760
FSNTOA_CERES     308.153             308.616            -0.463        16.802
FSNTOA_ERBE      308.153             295.731            12.421        22.113
FSNTOAC_CERES-EBAF372.418             367.996             4.422        13.662
FSNTOAC_CERES    372.418             375.257            -2.839        16.401
FSNTOAC_ERBE     372.418             371.647             0.772        16.340
FSNT_CAM         305.497            -999.000          -999.000      -999.000
LHFLX_JRA25       55.392              64.453            -9.061        21.741
LHFLX_ERA40       55.392              59.346            -3.954        19.812
LHFLX_WHOI        55.392              56.709            -1.317        25.626
LWCF_CERES-EBAF   20.432              24.063            -3.631         7.388
LWCF_CERES        20.432              24.577            -4.145         7.642
LWCF_ERBE         20.432              28.113            -7.681        10.363
PRECT_GPCP         2.330               2.263             0.067         1.298
PREH2O_NVAP       25.839              26.308            -0.469         3.445
PREH2O_AIRS       25.839              20.502             5.337         6.158
PREH2O_JRA25      25.839              20.502             5.337         6.158
PREH2O_ERAI       25.839              25.025             0.814         2.447
PREH2O_ERA40      25.839              26.370            -0.531         2.359
PSL_JRA25       1012.931            1012.860             0.071         2.274
PSL_ERAI        1012.931            1012.743             0.187         2.260
PSL_MERRA       1012.931            1011.979             0.952         3.006
SHFLX_JRA25       27.905              24.422             3.482        15.514
SHFLX_LARYEA      27.905               4.914            22.990        19.364
STRESS_MAG_ERS     0.046               0.036             0.010         0.021
STRESS_MAG_MERRA   0.046               0.046             0.000         0.018
STRESS_MAG_LARYEA  0.046               0.034             0.012         0.015
STRESS_MAG_JRA25   0.046               0.058            -0.012         0.017
SWCF_CERES-EBAF  -64.266             -63.629            -0.637        18.527
SWCF_CERES       -64.266             -66.559             2.293        18.689
SWCF_ERBE        -64.266             -75.259            10.993        22.626
AODVIS             0.182            -999.000          -999.000      -999.000
AODDUST            0.076            -999.000          -999.000      -999.000
SST_HADISST       20.078              20.159            -0.081         0.240
SST_HADISST_PI    20.084              19.936             0.148         0.460
SST_HADISST_PD    19.987              20.362            -0.374         0.578
TREFHT_LEGATES   290.815             291.356            -0.542         2.306
TREFHT_JRA25     290.815             291.073            -0.259         1.377
TS_MERRA         291.695             291.835            -0.140         2.094
TS_NCEP          291.695             290.747             0.948         2.247
TS_LAND_NCEP     293.424             291.171             2.253         3.237
U_200_JRA25        9.383              10.478            -1.095         5.057
U_200_MERRA        9.383              10.685            -1.302         4.878
Z3_500_JRA25      57.619              57.479             0.140         0.327
Z3_500_MERRA      57.619              57.458             0.161         0.328
