DIAG SET 1: ANN MEANS SOUTHERN EXTRATROPICS (90S-20S)
 
TEST CASE: LU2000.FHIST.ne30_ne30_wtopo_8thMOSART_branch (yrs 1985-1993)
 
CONTROL CASE: OBS data
 
Variable    LU2000.FHIST.ne30_ne30_wtopo_8thMOSART_branch       OBS data       LU2000.FHIST.ne30_ne30_wtopo_8thMOSART_branch        RMSE
                                                     -OBS data
RESTOM           -22.231            -999.000          -999.000      -999.000
RESSURF           -3.006            -999.000          -999.000      -999.000
RESTOA_CERES-EBAF-21.689             -26.548             4.859         9.575
RESTOA_ERBE      -21.689             -25.485             3.796        10.113
SOLIN_CERES-EBAF 305.549             304.642             0.907         0.503
SOLIN_CERES      305.549             306.477            -0.929         1.255
CLDTOT_ISCCP      73.698              73.376             0.322        14.531
CLDTOT_CLOUDSAT   73.698              69.107             4.592        12.096
FLDS_ISCCP       311.572             308.825             2.747        15.387
FLNS_ISCCP        51.248              45.189             6.059        12.116
FLUT_CERES-EBAF  226.660             227.879            -1.219         4.096
FLUT_CERES       226.660             227.139            -0.479         4.608
FLUT_ERBE        226.660             223.082             3.578         5.702
FLUTC_CERES-EBAF 247.587             252.870            -5.283         6.197
FLUTC_CERES      247.587             252.060            -4.473         5.743
FLUTC_ERBE       247.587             251.144            -3.557         5.673
FLNT_CAM         225.192            -999.000          -999.000      -999.000
FSDS_ISCCP       161.671             163.531            -1.861        13.570
FSNS_ISCCP       138.171             139.015            -0.844        12.460
FSNS_LARYEA      138.171             129.971             8.200        26.889
FSNTOA_CERES-EBAF204.971             201.331             3.640         9.981
FSNTOA_CERES     204.971             204.572             0.398         9.965
FSNTOA_ERBE      204.971             197.597             7.374        13.451
FSNTOAC_CERES-EBAF254.505             253.251             1.254         4.599
FSNTOAC_CERES    254.505             259.407            -4.902        14.659
FSNTOAC_ERBE     254.505             259.631            -5.126        20.908
FSNT_CAM         202.961            -999.000          -999.000      -999.000
LHFLX_JRA25       72.967              73.108            -0.141        11.182
LHFLX_ERA40       72.967              71.408             1.559        12.292
LHFLX_WHOI        72.967              67.411             5.557        19.561
LWCF_CERES-EBAF   20.927              24.992            -4.065         5.771
LWCF_CERES        20.927              24.751            -3.824         6.157
LWCF_ERBE         20.927              27.920            -6.993         8.978
PRECT_GPCP         2.468               2.321             0.147         0.562
PREH2O_NVAP       16.411              15.774             0.638         1.373
PREH2O_AIRS       16.411              12.814             3.598         3.740
PREH2O_JRA25      16.411              12.814             3.598         3.740
PREH2O_ERAI       16.411              15.345             1.066         1.466
PREH2O_ERA40      16.411              16.264             0.147         1.201
PSL_JRA25       1006.777            1007.365            -0.588         3.117
PSL_ERAI        1006.777            1007.424            -0.647         3.705
PSL_MERRA       1006.777            1007.065            -0.288         3.176
SHFLX_JRA25       16.962              12.715             4.247        10.221
SHFLX_LARYEA      16.962              13.347             3.615         8.635
STRESS_MAG_ERS     0.099               0.081             0.018         0.032
STRESS_MAG_MERRA   0.099               0.090             0.009         0.021
STRESS_MAG_LARYEA  0.099               0.089             0.009         0.026
STRESS_MAG_JRA25   0.099               0.099            -0.000         0.024
SWCF_CERES-EBAF  -49.534             -51.920             2.387         9.839
SWCF_CERES       -49.534             -54.481             4.947        15.749
SWCF_ERBE        -49.534             -59.408             9.874        19.348
AODVIS             0.107            -999.000          -999.000      -999.000
AODDUST            0.004            -999.000          -999.000      -999.000
SST_HADISST       14.161              14.165            -0.004         0.122
SST_HADISST_PI    14.874              14.471             0.403         0.485
SST_HADISST_PD    14.202              14.294            -0.092         0.249
TREFHT_LEGATES   280.373             280.969            -0.595         4.841
TREFHT_JRA25     280.373             281.520            -1.146         2.110
TS_MERRA         281.271             281.301            -0.030         1.315
TS_NCEP          281.271             281.104             0.167         1.650
TS_LAND_NCEP     265.457             266.347            -0.890         3.410
U_200_JRA25       24.537              24.175             0.362         3.519
U_200_MERRA       24.537              24.539            -0.001         3.483
Z3_500_JRA25      54.987              55.139            -0.153         0.338
Z3_500_MERRA      54.987              55.048            -0.062         0.328
