DIAG SET 1: DJF MEANS SOUTHERN EXTRATROPICS (90S-20S)
 
TEST CASE: LU2000.FHIST.ne30_ne30_wtopo_8thMOSART_branch (yrs 1985-1993)
 
CONTROL CASE: OBS data
 
Variable    LU2000.FHIST.ne30_ne30_wtopo_8thMOSART_branch       OBS data       LU2000.FHIST.ne30_ne30_wtopo_8thMOSART_branch        RMSE
                                                     -OBS data
RESTOM            76.786            -999.000          -999.000      -999.000
RESSURF           87.789            -999.000          -999.000      -999.000
RESTOA_CERES-EBAF 77.634              70.866             6.768        17.116
RESTOA_ERBE       77.634              68.266             9.368        19.038
SOLIN_CERES-EBAF 471.718             469.858             1.860         1.945
SOLIN_CERES      471.718             470.148             1.570         2.350
CLDTOT_ISCCP      71.204              73.385            -2.181        15.258
CLDTOT_CLOUDSAT   71.204              66.920             4.284        13.123
FLDS_ISCCP       329.205             327.233             1.971        12.122
FLNS_ISCCP        49.424              43.360             6.065        13.883
FLUT_CERES-EBAF  238.208             237.605             0.604         7.006
FLUT_CERES       238.208             236.192             2.017         8.166
FLUT_ERBE        238.208             233.155             5.053         9.332
FLUTC_CERES-EBAF 257.534             261.053            -3.519         5.520
FLUTC_CERES      257.534             260.863            -3.329         5.708
FLUTC_ERBE       257.534             260.813            -3.279         5.972
FLNT_CAM         236.271            -999.000          -999.000      -999.000
FSDS_ISCCP       254.365             258.341            -3.977        24.085
FSNS_ISCCP       213.634             215.170            -1.536        21.381
FSNS_LARYEA      213.634             205.667             7.967        40.284
FSNTOA_CERES-EBAF315.843             308.472             7.371        18.523
FSNTOA_CERES     315.843             310.771             5.072        18.180
FSNTOA_ERBE      315.843             301.422            14.421        23.645
FSNTOAC_CERES-EBAF394.336             391.335             3.001        11.377
FSNTOAC_CERES    394.336             397.095            -2.759        22.570
FSNTOAC_ERBE     394.336             393.115             1.221        20.571
FSNT_CAM         313.057            -999.000          -999.000      -999.000
LHFLX_JRA25       62.138              67.901            -5.763        18.648
LHFLX_ERA40       62.138              65.088            -2.951        18.680
LHFLX_WHOI        62.138              56.730             5.408        21.881
LWCF_CERES-EBAF   19.326              23.451            -4.125         7.210
LWCF_CERES        19.326              24.639            -5.313         8.661
LWCF_ERBE         19.326              27.603            -8.277        11.450
PRECT_GPCP         2.271               2.260             0.011         0.901
PREH2O_NVAP       20.301              19.273             1.028         2.223
PREH2O_AIRS       20.301              15.723             4.577         5.010
PREH2O_JRA25      20.301              15.723             4.577         5.010
PREH2O_ERAI       20.301              18.804             1.496         2.357
PREH2O_ERA40      20.301              19.989             0.312         2.034
PSL_JRA25       1006.299            1006.762            -0.464         3.233
PSL_ERAI        1006.299            1006.737            -0.438         3.241
PSL_MERRA       1006.299            1006.537            -0.238         3.118
SHFLX_JRA25       14.283              12.089             2.194         9.886
SHFLX_LARYEA      14.283               7.010             7.273        11.879
STRESS_MAG_ERS     0.086               0.071             0.015         0.028
STRESS_MAG_MERRA   0.086               0.078             0.008         0.022
STRESS_MAG_LARYEA  0.086               0.075             0.012         0.025
STRESS_MAG_JRA25   0.086               0.081             0.006         0.024
SWCF_CERES-EBAF  -78.493             -82.863             4.370        17.087
SWCF_CERES       -78.493             -85.970             7.477        29.611
SWCF_ERBE        -78.493             -90.940            12.446        29.952
AODVIS             0.110            -999.000          -999.000      -999.000
AODDUST            0.004            -999.000          -999.000      -999.000
SST_HADISST       15.640              15.633             0.008         0.150
SST_HADISST_PI    16.385              15.986             0.399         0.499
SST_HADISST_PD    15.679              15.781            -0.102         0.285
TREFHT_LEGATES   284.096             284.951            -0.854         3.902
TREFHT_JRA25     284.096             285.105            -1.009         2.244
TS_MERRA         284.800             284.615             0.184         1.616
TS_NCEP          284.800             285.011            -0.211         2.097
TS_LAND_NCEP     275.666             277.592            -1.926         5.167
U_200_JRA25       18.991              19.114            -0.123         5.534
U_200_MERRA       18.991              19.520            -0.529         5.276
Z3_500_JRA25      55.722              55.788            -0.065         0.403
Z3_500_MERRA      55.722              55.644             0.078         0.327
