DIAG SET 1: JJA MEANS SOUTHERN EXTRATROPICS (90S-20S)
 
TEST CASE: LU2000.FHIST.ne30_ne30_wtopo_8thMOSART_branch (yrs 1985-1993)
 
CONTROL CASE: OBS data
 
Variable    LU2000.FHIST.ne30_ne30_wtopo_8thMOSART_branch       OBS data       LU2000.FHIST.ne30_ne30_wtopo_8thMOSART_branch        RMSE
                                                     -OBS data
RESTOM          -112.183            -999.000          -999.000      -999.000
RESSURF          -84.997            -999.000          -999.000      -999.000
RESTOA_CERES-EBAF-112.014            -115.261             3.247         5.977
RESTOA_ERBE     -112.014            -112.894             0.880         5.920
SOLIN_CERES-EBAF 154.699             154.478             0.221         0.743
SOLIN_CERES      154.699             155.001            -0.302         0.997
CLDTOT_ISCCP      75.351              72.186             3.165        16.284
CLDTOT_CLOUDSAT   75.351              70.360             4.991        13.158
FLDS_ISCCP       295.923             291.652             4.271        19.440
FLNS_ISCCP        53.202              47.135             6.067        12.791
FLUT_CERES-EBAF  217.000             219.806            -2.807         5.037
FLUT_CERES       217.000             219.044            -2.044         4.852
FLUT_ERBE        217.000             214.994             2.005         4.946
FLUTC_CERES-EBAF 239.381             245.782            -6.400         7.347
FLUTC_CERES      239.381             243.037            -3.656         8.960
FLUTC_ERBE       239.381             242.164            -2.783        11.546
FLNT_CAM         215.947            -999.000          -999.000      -999.000
FSDS_ISCCP        77.607              76.503             1.105         8.563
FSNS_ISCCP        70.293              69.336             0.958         7.620
FSNS_LARYEA       70.293              62.201             8.093        16.511
FSNTOA_CERES-EBAF104.986             104.545             0.441         6.074
FSNTOA_CERES     104.986             105.301            -0.315         6.958
FSNTOA_ERBE      104.986             102.100             2.886         7.992
FSNTOAC_CERES-EBAF129.012             128.544             0.468         2.164
FSNTOAC_CERES    129.012             131.316            -2.304         3.447
FSNTOAC_ERBE     129.012             132.019            -3.007         4.776
FSNT_CAM         103.764            -999.000          -999.000      -999.000
LHFLX_JRA25       82.798              78.241             4.557        13.532
LHFLX_ERA40       82.798              77.410             5.388        14.149
LHFLX_WHOI        82.798              81.413             1.385        24.542
LWCF_CERES-EBAF   22.382              25.976            -3.594         5.720
LWCF_CERES        22.382              24.063            -1.681         9.215
LWCF_ERBE         22.382              27.114            -4.732        12.640
PRECT_GPCP         2.654               2.305             0.349         0.750
PREH2O_NVAP       12.982              12.610             0.372         1.200
PREH2O_AIRS       12.982              10.222             2.759         2.907
PREH2O_JRA25      12.982              10.222             2.759         2.907
PREH2O_ERAI       12.982              12.235             0.747         1.102
PREH2O_ERA40      12.982              12.876             0.105         1.057
PSL_JRA25       1007.409            1008.253            -0.844         3.394
PSL_ERAI        1007.409            1008.306            -0.897         4.206
PSL_MERRA       1007.409            1007.873            -0.464         3.468
SHFLX_JRA25       19.291              13.148             6.143        13.483
SHFLX_LARYEA      19.291              20.020            -0.729         9.551
STRESS_MAG_ERS     0.112               0.089             0.023         0.038
STRESS_MAG_MERRA   0.112               0.103             0.008         0.023
STRESS_MAG_LARYEA  0.112               0.098             0.013         0.029
STRESS_MAG_JRA25   0.112               0.112             0.000         0.023
SWCF_CERES-EBAF  -24.027             -23.999            -0.027         6.287
SWCF_CERES       -24.027             -25.258             1.232         7.110
SWCF_ERBE        -24.027             -28.279             4.253         7.802
AODVIS             0.097            -999.000          -999.000      -999.000
AODDUST            0.003            -999.000          -999.000      -999.000
SST_HADISST       12.876              12.880            -0.005         0.134
SST_HADISST_PI    13.541              13.115             0.426         0.507
SST_HADISST_PD    12.934              13.010            -0.076         0.312
TREFHT_LEGATES   277.252             277.596            -0.343         5.536
TREFHT_JRA25     277.252             278.303            -1.051         1.983
TS_MERRA         278.303             278.337            -0.034         1.529
TS_NCEP          278.303             277.708             0.595         2.333
TS_LAND_NCEP     257.768             257.586             0.182         3.767
U_200_JRA25       29.180              28.392             0.788         3.240
U_200_MERRA       29.180              28.852             0.328         3.097
Z3_500_JRA25      54.347              54.588            -0.241         0.339
Z3_500_MERRA      54.347              54.537            -0.190         0.392
