DIAG SET 1: ANN MEANS TROPICS (20N-20S)
 
TEST CASE: LU2000.FHIST.ne30_ne30_wtopo_8thMOSART_branch (yrs 1985-1993)
 
CONTROL CASE: OBS data
 
Variable    LU2000.FHIST.ne30_ne30_wtopo_8thMOSART_branch       OBS data       LU2000.FHIST.ne30_ne30_wtopo_8thMOSART_branch        RMSE
                                                     -OBS data
RESTOM            63.991            -999.000          -999.000      -999.000
RESSURF           28.626            -999.000          -999.000      -999.000
RESTOA_CERES-EBAF 64.964              56.319             8.645        11.987
RESTOA_ERBE       64.964              54.437            10.527        13.547
SOLIN_CERES-EBAF 408.274             408.155             0.119         0.846
SOLIN_CERES      408.274             409.428            -1.154         1.428
CLDTOT_ISCCP      66.233              61.487             4.746        12.343
CLDTOT_CLOUDSAT   66.233              68.355            -2.123         8.534
FLDS_ISCCP       400.800             405.413            -4.613         9.945
FLNS_ISCCP        58.831              51.000             7.831        13.744
FLUT_CERES-EBAF  254.659             256.598            -1.939         9.289
FLUT_CERES       254.659             256.122            -1.463         9.595
FLUT_ERBE        254.659             251.107             3.551         9.977
FLUTC_CERES-EBAF 282.447             286.358            -3.911         5.051
FLUTC_CERES      282.447             287.843            -5.396         6.016
FLUTC_ERBE       282.447             287.403            -4.956         5.867
FLNT_CAM         253.093            -999.000          -999.000      -999.000
FSDS_ISCCP       242.328             241.673             0.655        14.464
FSNS_ISCCP       224.637             222.979             1.658        15.817
FSNS_LARYEA      224.637             203.232            21.405        45.189
FSNTOA_CERES-EBAF319.622             312.917             6.705        13.762
FSNTOA_CERES     319.622             319.097             0.526        13.196
FSNTOA_ERBE      319.622             305.545            14.078        19.001
FSNTOAC_CERES-EBAF361.448             360.417             1.031         5.068
FSNTOAC_CERES    361.448             362.918            -1.470         4.597
FSNTOAC_ERBE     361.448             359.167             2.280         6.053
FSNT_CAM         317.085            -999.000          -999.000      -999.000
LHFLX_JRA25      115.152             126.413           -11.260        23.186
LHFLX_ERA40      115.152             115.198            -0.046        19.995
LHFLX_WHOI       115.152             112.865             2.287        28.160
LWCF_CERES-EBAF   27.788              29.759            -1.971         7.731
LWCF_CERES        27.788              31.382            -3.594         9.527
LWCF_ERBE         27.788              36.117            -8.329        12.448
PRECT_GPCP         3.888               3.550             0.337         1.562
PREH2O_NVAP       39.279              40.071            -0.792         2.698
PREH2O_AIRS       39.279              33.228             6.051         6.209
PREH2O_JRA25      39.279              33.228             6.051         6.209
PREH2O_ERAI       39.279              39.550            -0.271         2.400
PREH2O_ERA40      39.279              40.252            -0.974         2.743
PSL_JRA25       1012.017            1012.003             0.015         0.538
PSL_ERAI        1012.017            1011.835             0.182         0.554
PSL_MERRA       1012.017            1011.370             0.648         1.349
SHFLX_JRA25       22.028              25.894            -3.866        10.735
SHFLX_LARYEA      22.028              10.914            11.114        11.830
STRESS_MAG_ERS     0.048               0.055            -0.008         0.014
STRESS_MAG_MERRA   0.048               0.054            -0.006         0.011
STRESS_MAG_LARYEA  0.048               0.063            -0.016         0.021
STRESS_MAG_JRA25   0.048               0.065            -0.018         0.016
SWCF_CERES-EBAF  -41.825             -47.500             5.675        14.895
SWCF_CERES       -41.825             -43.718             1.893        13.143
SWCF_ERBE        -41.825             -53.519            11.694        17.473
AODVIS             0.165            -999.000          -999.000      -999.000
AODDUST            0.045            -999.000          -999.000      -999.000
SST_HADISST       27.110              27.141            -0.031         0.121
SST_HADISST_PI    27.110              26.742             0.368         0.419
SST_HADISST_PD    27.110              27.198            -0.088         0.287
TREFHT_LEGATES   298.475             299.051            -0.577         1.002
TREFHT_JRA25     298.475             298.700            -0.225         0.708
TS_MERRA         299.975             300.062            -0.087         0.990
TS_NCEP          299.975             299.564             0.412         1.210
TS_LAND_NCEP     298.764             297.266             1.498         2.406
U_200_JRA25        3.510               4.691            -1.182         3.352
U_200_MERRA        3.510               3.541            -0.031         2.970
Z3_500_JRA25      58.749              58.608             0.141         0.149
Z3_500_MERRA      58.749              58.597             0.152         0.167
