DIAG SET 1: DJF MEANS TROPICS (20N-20S)
 
TEST CASE: LU2000.FHIST.ne30_ne30_wtopo_8thMOSART_branch (yrs 1985-1993)
 
CONTROL CASE: OBS data
 
Variable    LU2000.FHIST.ne30_ne30_wtopo_8thMOSART_branch       OBS data       LU2000.FHIST.ne30_ne30_wtopo_8thMOSART_branch        RMSE
                                                     -OBS data
RESTOM            68.055            -999.000          -999.000      -999.000
RESSURF           28.361            -999.000          -999.000      -999.000
RESTOA_CERES-EBAF 69.134              60.240             8.894        13.624
RESTOA_ERBE       69.134              58.956            10.179        14.940
SOLIN_CERES-EBAF 413.226             412.848             0.378         1.153
SOLIN_CERES      413.226             414.841            -1.615         1.963
CLDTOT_ISCCP      66.745              61.519             5.226        14.330
CLDTOT_CLOUDSAT   66.745              69.501            -2.756        10.271
FLDS_ISCCP       398.084             402.115            -4.031        11.243
FLNS_ISCCP        59.551              50.753             8.798        15.591
FLUT_CERES-EBAF  253.429             255.231            -1.802        10.994
FLUT_CERES       253.429             254.359            -0.930        11.887
FLUT_ERBE        253.429             249.862             3.567        12.245
FLUTC_CERES-EBAF 282.134             286.291            -4.157         5.838
FLUTC_CERES      282.134             287.467            -5.333         6.701
FLUTC_ERBE       282.134             286.996            -4.862         6.653
FLNT_CAM         251.903            -999.000          -999.000      -999.000
FSDS_ISCCP       244.871             244.027             0.845        17.996
FSNS_ISCCP       227.074             225.253             1.821        18.946
FSNS_LARYEA      227.074             206.280            20.794        45.933
FSNTOA_CERES-EBAF322.563             315.471             7.092        16.833
FSNTOA_CERES     322.563             321.990             0.573        16.366
FSNTOA_ERBE      322.563             308.817            13.746        21.163
FSNTOAC_CERES-EBAF365.690             364.415             1.275         6.256
FSNTOAC_CERES    365.690             367.527            -1.837         5.610
FSNTOAC_ERBE     365.690             363.302             2.388         6.559
FSNT_CAM         319.958            -999.000          -999.000      -999.000
LHFLX_JRA25      117.629             126.881            -9.252        28.437
LHFLX_ERA40      117.629             115.737             1.893        27.790
LHFLX_WHOI       117.629             112.594             5.036        37.326
LWCF_CERES-EBAF   28.705              31.058            -2.353         9.484
LWCF_CERES        28.705              32.942            -4.237        11.504
LWCF_ERBE         28.705              36.937            -8.232        14.020
PRECT_GPCP         4.025               3.621             0.403         1.878
PREH2O_NVAP       38.547              39.409            -0.862         3.662
PREH2O_AIRS       38.547              32.872             5.674         6.388
PREH2O_JRA25      38.547              32.872             5.674         6.388
PREH2O_ERAI       38.547              38.901            -0.355         2.931
PREH2O_ERA40      38.547              39.531            -0.984         3.307
PSL_JRA25       1011.548            1011.675            -0.127         0.856
PSL_ERAI        1011.548            1011.534             0.014         0.841
PSL_MERRA       1011.548            1011.069             0.479         1.446
SHFLX_JRA25       21.532              24.816            -3.283        11.628
SHFLX_LARYEA      21.532              11.065            10.467        11.810
STRESS_MAG_ERS     0.054               0.054            -0.000         0.015
STRESS_MAG_MERRA   0.054               0.061            -0.007         0.016
STRESS_MAG_LARYEA  0.054               0.064            -0.010         0.020
STRESS_MAG_JRA25   0.054               0.064            -0.010         0.016
SWCF_CERES-EBAF  -43.127             -48.945             5.817        17.318
SWCF_CERES       -43.127             -45.470             2.343        16.108
SWCF_ERBE        -43.127             -54.328            11.201        19.225
AODVIS             0.155            -999.000          -999.000      -999.000
AODDUST            0.041            -999.000          -999.000      -999.000
SST_HADISST       27.037              27.096            -0.059         0.154
SST_HADISST_PI    27.037              26.715             0.321         0.398
SST_HADISST_PD    27.037              27.149            -0.112         0.350
TREFHT_LEGATES   298.191             298.950            -0.758         1.243
TREFHT_JRA25     298.191             298.454            -0.263         0.887
TS_MERRA         299.653             299.742            -0.089         1.116
TS_NCEP          299.653             299.340             0.313         1.305
TS_LAND_NCEP     297.640             296.516             1.124         2.577
U_200_JRA25        4.767               6.661            -1.894         4.851
U_200_MERRA        4.767               5.503            -0.736         4.141
Z3_500_JRA25      58.660              58.558             0.103         0.126
Z3_500_MERRA      58.660              58.541             0.119         0.149
