DIAG SET 1: JJA MEANS TROPICS (20N-20S)
 
TEST CASE: LU2000.FHIST.ne30_ne30_wtopo_8thMOSART_branch (yrs 1985-1993)
 
CONTROL CASE: OBS data
 
Variable    LU2000.FHIST.ne30_ne30_wtopo_8thMOSART_branch       OBS data       LU2000.FHIST.ne30_ne30_wtopo_8thMOSART_branch        RMSE
                                                     -OBS data
RESTOM            44.923            -999.000          -999.000      -999.000
RESSURF            9.319            -999.000          -999.000      -999.000
RESTOA_CERES-EBAF 45.889              38.220             7.669        14.063
RESTOA_ERBE       45.889              35.721            10.168        15.191
SOLIN_CERES-EBAF 389.251             389.069             0.182         1.075
SOLIN_CERES      389.251             390.382            -1.132         1.401
CLDTOT_ISCCP      65.378              61.425             3.953        14.585
CLDTOT_CLOUDSAT   65.378              67.098            -1.720        11.383
FLDS_ISCCP       400.461             405.144            -4.683        11.413
FLNS_ISCCP        57.251              49.729             7.522        15.450
FLUT_CERES-EBAF  254.882             257.713            -2.831        12.013
FLUT_CERES       254.882             257.156            -2.274        12.112
FLUT_ERBE        254.882             252.209             2.673        12.284
FLUTC_CERES-EBAF 281.721             286.009            -4.287         5.805
FLUTC_CERES      281.721             287.387            -5.666         6.676
FLUTC_ERBE       281.721             287.157            -5.436         6.894
FLNT_CAM         253.385            -999.000          -999.000      -999.000
FSDS_ISCCP       225.551             225.351             0.200        19.455
FSNS_ISCCP       208.686             208.031             0.655        19.317
FSNS_LARYEA      208.686             188.916            19.770        43.783
FSNTOA_CERES-EBAF300.772             295.934             4.838        17.529
FSNTOA_CERES     300.772             299.991             0.780        17.854
FSNTOA_ERBE      300.772             287.931            12.841        21.132
FSNTOAC_CERES-EBAF343.341             342.683             0.658         5.841
FSNTOAC_CERES    343.341             345.158            -1.817         5.117
FSNTOAC_ERBE     343.341             341.182             2.159         6.723
FSNT_CAM         298.308            -999.000          -999.000      -999.000
LHFLX_JRA25      120.139             130.363           -10.223        30.993
LHFLX_ERA40      120.139             118.851             1.289        27.091
LHFLX_WHOI       120.139             117.644             2.495        37.029
LWCF_CERES-EBAF   26.839              28.294            -1.455         9.453
LWCF_CERES        26.839              30.204            -3.365        11.179
LWCF_ERBE         26.839              34.714            -7.875        13.546
PRECT_GPCP         3.846               3.511             0.335         2.178
PREH2O_NVAP       39.266              39.792            -0.526         3.225
PREH2O_AIRS       39.266              32.655             6.611         7.095
PREH2O_JRA25      39.266              32.655             6.611         7.095
PREH2O_ERAI       39.266              39.254             0.012         3.188
PREH2O_ERA40      39.266              39.912            -0.646         3.259
PSL_JRA25       1012.989            1012.678             0.311         0.942
PSL_ERAI        1012.989            1012.561             0.428         0.859
PSL_MERRA       1012.989            1012.083             0.906         1.622
SHFLX_JRA25       21.977              25.718            -3.741        10.244
SHFLX_LARYEA      21.977              11.218            10.758        11.392
STRESS_MAG_ERS     0.066               0.066            -0.000         0.019
STRESS_MAG_MERRA   0.066               0.075            -0.009         0.023
STRESS_MAG_LARYEA  0.066               0.074            -0.008         0.025
STRESS_MAG_JRA25   0.066               0.077            -0.012         0.020
SWCF_CERES-EBAF  -42.569             -46.750             4.181        18.269
SWCF_CERES       -42.569             -45.112             2.543        17.598
SWCF_ERBE        -42.569             -53.150            10.581        20.390
AODVIS             0.183            -999.000          -999.000      -999.000
AODDUST            0.043            -999.000          -999.000      -999.000
SST_HADISST       26.877              26.905            -0.028         0.122
SST_HADISST_PI    26.877              26.508             0.369         0.423
SST_HADISST_PD    26.877              26.959            -0.082         0.261
TREFHT_LEGATES   298.224             298.724            -0.500         1.026
TREFHT_JRA25     298.224             298.440            -0.216         0.777
TS_MERRA         299.656             299.844            -0.188         1.150
TS_NCEP          299.656             299.340             0.316         1.082
TS_LAND_NCEP     298.165             297.063             1.102         2.075
U_200_JRA25       -1.044               0.510            -1.555         4.213
U_200_MERRA       -1.044              -0.474            -0.570         4.257
Z3_500_JRA25      58.802              58.629             0.174         0.182
Z3_500_MERRA      58.802              58.627             0.176         0.194
