DIAG SET 1: DJF MEANS GLOBAL
 
TEST CASE: LU2000.FHIST.ne30_ne30_wtopo_8thMOSART_branch (yrs 1985-1993)
 
CONTROL CASE: LU1850.FHIST.ne30_ne30_wtopo_8thMOSART_3_branch2 (yrs 1985-1993)
 
Variable    LU2000.FHIST.ne30_ne30_wtopo_8thMOSART_branch  LU1850.FHIST.ne30_ne30_wtopo_8thMOSART_3_branch2  LU2000.FHIST.ne30_ne30_wtopo_8thMOSART_branch        RMSE
                                                      -LU1850.FHIST.ne30_ne30_wtopo_8thMOSART_3_branch2
RESTOM            12.793              12.261             0.532         2.930
RESSURF           12.221              11.483             0.738        11.267
SOLIN            350.553             350.553             0.000         0.000
AAM            1.546e+26           1.566e+26        -1.953e+24      -999.000
CHI_200           -0.000              -0.001             0.001         0.702
CLDHGH            45.046              44.610             0.436         3.597
CLDLOW            40.439              40.713            -0.274         2.444
CLDMED            30.224              29.898             0.326         3.125
CLDTOT            70.011              69.805             0.207         3.074
EKE_850           34.209              34.864            -0.655         3.813
EP            -3.094e-04          -9.728e-05        -2.121e-04         0.604
FLNS              55.630              55.502             0.128         2.493
FLNSC             81.829              81.833            -0.004         1.831
FLNT             234.277             234.545            -0.268         3.540
FLNTC            256.406             256.532            -0.126         1.438
FSDS             196.259             195.847             0.412         5.139
FSDSC            254.414             254.369             0.045         0.787
FSNS             171.073             170.787             0.286         4.700
FSNSC            223.774             223.878            -0.105         1.429
FSNSC_ICE         20.190              20.713            -0.523         3.093
FSNSC_LAND       143.241             143.703            -0.462         2.399
FSNT             247.070             246.806             0.264         4.066
FSNTC            294.556             294.628            -0.072         1.319
ICEAREA           17.506              17.506             0.000         0.000
LHFLX             83.123              83.599            -0.476         8.123
LWCF              22.129              21.987             0.142         2.609
PRECT              2.836               2.851            -0.015         0.584
PRECT_LAND         2.408               2.394             0.014         0.493
PRECT_OCEAN        3.118               3.148            -0.031         0.632
PREH2O            23.446              23.365             0.081         0.906
PREH2O_OCEAN      27.791              27.749             0.043         0.896
PSI_200            0.005               0.006            -0.001         0.262
PS               985.184             985.176             0.008         1.710
PSL             1011.566            1011.565             0.001         1.825
QFLX               2.835               2.851            -0.016         0.245
SHFLX             20.099              20.203            -0.104         3.572
SNOWHLND          99.631              99.692            -0.061         1.996
SST               19.694              19.694             0.000         0.007
STRESS_MAG         0.073               0.073             0.000         0.014
SWCF             -47.486             -47.822             0.336         4.084
T_850            278.994             278.950             0.044         0.537
TGCLDLWP          62.946              63.459            -0.513         7.557
TGCLDIWP          11.754              11.624             0.129         2.294
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.122               0.124            -0.002         0.011
AODDUST            0.022               0.023            -0.001         0.008
TREFHT           285.413             285.398             0.015         0.611
TS               286.499             286.480             0.020         0.593
TS_LAND          276.520             276.523            -0.003         1.079
U_200             16.156              16.446            -0.290         2.180
VT_850            -0.738              -0.742             0.004         1.753
Z3_500            56.419              56.423            -0.004         0.188
