DIAG SET 1: MAM MEANS GLOBAL
 
TEST CASE: LU2000.FHIST.ne30_ne30_wtopo_8thMOSART_branch (yrs 1985-1993)
 
CONTROL CASE: LU1850.FHIST.ne30_ne30_wtopo_8thMOSART_3_branch2 (yrs 1985-1993)
 
Variable    LU2000.FHIST.ne30_ne30_wtopo_8thMOSART_branch  LU1850.FHIST.ne30_ne30_wtopo_8thMOSART_3_branch2  LU2000.FHIST.ne30_ne30_wtopo_8thMOSART_branch        RMSE
                                                      -LU1850.FHIST.ne30_ne30_wtopo_8thMOSART_3_branch2
RESTOM             7.639               7.704            -0.065         2.663
RESSURF            6.324               6.384            -0.061         7.831
SOLIN            338.339             338.339             0.000         0.000
AAM            1.645e+26           1.664e+26        -1.899e+24      -999.000
CHI_200            0.002               0.003            -0.001         0.676
CLDHGH            46.518              46.028             0.490         2.965
CLDLOW            37.556              37.500             0.056         2.095
CLDMED            29.350              29.214             0.136         2.524
CLDTOT            69.617              69.081             0.537         2.535
EKE_850           35.608              35.863            -0.255         3.405
EP             5.988e-03           6.030e-03        -4.120e-05         0.437
FLNS              57.871              57.795             0.075         2.214
FLNSC             83.058              83.051             0.007         1.663
FLNT             235.564             235.713            -0.148         2.785
FLNTC            258.822             258.869            -0.047         1.085
FSDS             193.870             193.895            -0.025         4.084
FSDSC            243.787             243.885            -0.098         0.975
FSNS             169.155             169.382            -0.227         3.865
FSNSC            213.081             213.329            -0.248         1.836
FSNSC_ICE         37.422              37.684            -0.261         0.771
FSNSC_LAND       190.795             191.508            -0.713         3.519
FSNT             243.203             243.416            -0.213         3.360
FSNTC            282.989             283.214            -0.225         1.674
ICEAREA           18.645              18.645             0.000         0.000
LHFLX             82.703              82.801            -0.098         6.136
LWCF              23.257              23.156             0.101         2.118
PRECT              2.815               2.818            -0.003         0.422
PRECT_LAND         2.443               2.505            -0.062         0.399
PRECT_OCEAN        3.077               3.051             0.026         0.442
PREH2O            24.157              24.196            -0.040         0.667
PREH2O_OCEAN      28.138              28.133             0.005         0.628
PSI_200           -0.008              -0.006            -0.001         0.206
PS               985.253             985.257            -0.004         1.278
PSL             1011.328            1011.325             0.003         1.336
QFLX               2.821               2.824            -0.003         0.186
SHFLX             22.258              22.402            -0.144         2.701
SNOWHLND         100.235             100.381            -0.146         2.210
SST               19.822              19.821             0.000         0.011
STRESS_MAG         0.067               0.066             0.001         0.011
SWCF             -39.786             -39.798             0.012         3.201
T_850            280.293             280.311            -0.018         0.435
TGCLDLWP          56.508              56.866            -0.358         5.929
TGCLDIWP          12.898              12.932            -0.034         2.102
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.137               0.135             0.003         0.020
AODDUST            0.044               0.042             0.002         0.017
TREFHT           287.067             287.094            -0.027         0.425
TS               288.248             288.271            -0.022         0.431
TS_LAND          281.874             281.972            -0.098         0.765
U_200             17.036              17.257            -0.221         1.905
VT_850             0.005               0.024            -0.019         1.259
Z3_500            56.590              56.597            -0.008         0.153
