DIAG SET 1: SON MEANS GLOBAL
 
TEST CASE: LU2000.FHIST.ne30_ne30_wtopo_8thMOSART_branch (yrs 1985-1993)
 
CONTROL CASE: LU1850.FHIST.ne30_ne30_wtopo_8thMOSART_3_branch2 (yrs 1985-1993)
 
Variable    LU2000.FHIST.ne30_ne30_wtopo_8thMOSART_branch  LU1850.FHIST.ne30_ne30_wtopo_8thMOSART_3_branch2  LU2000.FHIST.ne30_ne30_wtopo_8thMOSART_branch        RMSE
                                                      -LU1850.FHIST.ne30_ne30_wtopo_8thMOSART_3_branch2
RESTOM             7.260               7.060             0.200         2.280
RESSURF           10.326              10.169             0.156         6.697
SOLIN            342.236             342.236             0.000         0.000
AAM            1.461e+26           1.458e+26         2.318e+23      -999.000
CHI_200            0.003               0.006            -0.003         0.705
CLDHGH            45.215              44.830             0.385         2.608
CLDLOW            38.749              39.137            -0.388         2.165
CLDMED            28.819              28.611             0.208         2.149
CLDTOT            68.424              68.294             0.129         2.288
EKE_850           34.327              34.166             0.161         2.900
EP            -3.527e-02          -3.725e-02         1.977e-03         0.428
FLNS              57.477              57.078             0.398         2.042
FLNSC             83.447              83.190             0.257         1.438
FLNT             237.128             237.204            -0.076         2.410
FLNTC            259.440             259.374             0.066         1.027
FSDS             193.281             192.951             0.331         3.656
FSDSC            246.777             246.884            -0.107         0.751
FSNS             169.575             169.427             0.148         3.329
FSNSC            217.653             217.911            -0.258         1.051
FSNSC_ICE         47.501              47.577            -0.076         0.632
FSNSC_LAND       165.473             166.083            -0.610         1.907
FSNT             244.388             244.263             0.124         2.921
FSNTC            287.683             287.911            -0.228         0.896
ICEAREA           22.535              22.535             0.000         0.000
LHFLX             81.113              81.449            -0.336         5.268
LWCF              22.312              22.170             0.142         1.799
PRECT              2.808               2.821            -0.014         0.410
PRECT_LAND         2.487               2.521            -0.035         0.397
PRECT_OCEAN        3.045               3.048            -0.003         0.427
PREH2O            24.175              24.233            -0.058         0.582
PREH2O_OCEAN      27.983              27.999            -0.015         0.546
PSI_200           -0.016              -0.016            -0.000         0.193
PS               985.255             985.261            -0.006         0.840
PSL             1011.213            1011.221            -0.008         0.917
QFLX               2.773               2.784            -0.012         0.156
SHFLX             20.659              20.730            -0.071         1.935
SNOWHLND          97.401              97.412            -0.011         2.022
SST               19.853              19.853             0.000         0.008
STRESS_MAG         0.071               0.071            -0.001         0.009
SWCF             -43.296             -43.648             0.352         2.975
T_850            280.348             280.294             0.054         0.434
TGCLDLWP          59.275              60.208            -0.933         5.667
TGCLDIWP          12.102              12.050             0.051         1.811
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.132               0.129             0.003         0.016
AODDUST            0.031               0.029             0.002         0.013
TREFHT           287.309             287.248             0.061         0.398
TS               288.452             288.384             0.068         0.407
TS_LAND          283.039             282.875             0.163         0.703
U_200             15.409              15.318             0.091         1.436
VT_850            -0.030              -0.029            -0.002         1.219
Z3_500            56.630              56.630             0.001         0.107
