DIAG SET 1: DJF MEANS NORTHERN EXTRATROPICS (90N-20N)
 
TEST CASE: LU2000.FHIST.ne30_ne30_wtopo_8thMOSART_branch (yrs 1985-1993)
 
CONTROL CASE: LU1850.FHIST.ne30_ne30_wtopo_8thMOSART_3_branch2 (yrs 1985-1993)
 
Variable    LU2000.FHIST.ne30_ne30_wtopo_8thMOSART_branch  LU1850.FHIST.ne30_ne30_wtopo_8thMOSART_3_branch2  LU2000.FHIST.ne30_ne30_wtopo_8thMOSART_branch        RMSE
                                                      -LU1850.FHIST.ne30_ne30_wtopo_8thMOSART_3_branch2
RESTOM          -107.777            -107.994             0.217         2.568
RESSURF          -79.872             -80.654             0.781        16.124
SOLIN            165.223             165.223             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200            3.552               3.627            -0.075         0.442
CLDHGH            38.793              38.209             0.584         4.015
CLDLOW            51.885              52.078            -0.193         3.198
CLDMED            39.482              39.063             0.419         3.591
CLDTOT            72.162              71.887             0.275         2.959
EKE_850           52.118              53.748            -1.630         4.953
EP             1.040e-01           1.069e-01        -2.889e-03         0.451
FLNS              57.820              57.641             0.179         2.748
FLNSC             90.522              90.458             0.064         2.083
FLNT             214.236             214.308            -0.072         2.696
FLNTC            232.435             232.437            -0.002         1.728
FSDS              88.383              87.820             0.563         3.031
FSDSC            115.420             115.267             0.153         0.680
FSNS              71.176              70.927             0.249         2.971
FSNSC             93.645              93.803            -0.158         1.867
FSNSC_ICE          1.017               1.026            -0.009         0.030
FSNSC_LAND        76.352              76.869            -0.518         2.922
FSNT             106.459             106.314             0.146         2.628
FSNTC            127.364             127.580            -0.216         1.775
ICEAREA           13.040              13.040             0.000         0.000
LHFLX             68.779              69.472            -0.692        10.339
LWCF              18.199              18.129             0.069         1.958
PRECT              2.182               2.200            -0.018         0.413
PRECT_LAND         1.154               1.208            -0.054         0.300
PRECT_OCEAN        3.533               3.511             0.022         0.534
PREH2O            11.131              11.149            -0.018         0.628
PREH2O_OCEAN      17.304              17.318            -0.014         0.737
PSI_200           -8.269              -8.337             0.068         0.359
PS               975.759             975.532             0.227         2.821
PSL             1016.851            1016.637             0.214         3.027
QFLX               2.286               2.307            -0.021         0.322
SHFLX             24.449              24.468            -0.019         5.590
SNOWHLND          27.562              27.689            -0.127         2.699
SST               15.549              15.548             0.001         0.012
STRESS_MAG         0.082               0.078             0.003         0.026
SWCF             -20.905             -21.266             0.361         2.276
T_850            269.208             269.138             0.070         0.849
TGCLDLWP          62.002              62.901            -0.898         9.931
TGCLDIWP          11.011              10.865             0.146         2.105
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.098               0.100            -0.002         0.012
AODDUST            0.021               0.022            -0.002         0.010
TREFHT           273.647             273.621             0.026         1.010
TS               274.732             274.718             0.014         0.966
TS_LAND          266.212             266.304            -0.092         1.378
U_200             24.981              25.261            -0.280         3.022
VT_850             0.534               0.568            -0.033         2.526
Z3_500            54.819              54.812             0.008         0.305
