DIAG SET 1: SON MEANS NORTHERN EXTRATROPICS (90N-20N)
 
TEST CASE: LU2000.FHIST.ne30_ne30_wtopo_8thMOSART_branch (yrs 1985-1993)
 
CONTROL CASE: LU1850.FHIST.ne30_ne30_wtopo_8thMOSART_3_branch2 (yrs 1985-1993)
 
Variable    LU2000.FHIST.ne30_ne30_wtopo_8thMOSART_branch  LU1850.FHIST.ne30_ne30_wtopo_8thMOSART_3_branch2  LU2000.FHIST.ne30_ne30_wtopo_8thMOSART_branch        RMSE
                                                      -LU1850.FHIST.ne30_ne30_wtopo_8thMOSART_3_branch2
RESTOM           -66.997             -67.035             0.038         2.000
RESSURF          -35.757             -36.225             0.468         8.793
SOLIN            239.519             239.519             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -1.117              -1.116            -0.001         0.702
CLDHGH            39.774              39.784            -0.010         2.778
CLDLOW            41.117              41.614            -0.497         2.905
CLDMED            33.103              32.952             0.151         2.549
CLDTOT            64.961              65.154            -0.193         2.601
EKE_850           39.587              39.553             0.034         3.155
EP            -9.264e-02          -8.677e-02        -5.873e-03         0.414
FLNS              61.697              61.224             0.472         2.593
FLNSC             89.916              89.575             0.341         1.818
FLNT             233.999             233.863             0.135         2.424
FLNTC            253.068             252.837             0.230         1.379
FSDS             132.340             131.888             0.451         3.292
FSDSC            167.218             167.251            -0.032         0.803
FSNS             113.905             113.670             0.235         2.935
FSNSC            144.135             144.334            -0.199         1.226
FSNSC_ICE         12.227              12.192             0.035         0.398
FSNSC_LAND       130.589             131.086            -0.498         1.833
FSNT             167.002             166.828             0.174         2.661
FSNTC            195.088             195.288            -0.200         1.099
ICEAREA            7.975               7.975             0.000         0.000
LHFLX             65.828              66.443            -0.614         6.404
LWCF              19.069              18.974             0.095         1.641
PRECT              2.336               2.350            -0.014         0.379
PRECT_LAND         1.696               1.726            -0.029         0.332
PRECT_OCEAN        3.146               3.145             0.001         0.434
PREH2O            18.308              18.353            -0.046         0.689
PREH2O_OCEAN      24.835              24.864            -0.029         0.711
PSI_200           -6.284              -6.184            -0.100         0.252
PS               976.185             976.144             0.041         1.273
PSL             1015.610            1015.578             0.032         1.419
QFLX               2.243               2.263            -0.020         0.193
SHFLX             22.138              22.228            -0.091         2.466
SNOWHLND          23.269              23.292            -0.024         2.737
SST               19.111              19.111             0.000         0.011
STRESS_MAG         0.054               0.054            -0.001         0.013
SWCF             -28.086             -28.460             0.373         2.641
T_850            277.346             277.230             0.116         0.679
TGCLDLWP          58.279              59.099            -0.821         7.384
TGCLDIWP          10.894              10.852             0.042         1.675
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.130               0.128             0.002         0.016
AODDUST            0.046               0.045             0.002         0.013
TREFHT           284.057             283.931             0.126         0.640
TS               285.097             284.967             0.130         0.617
TS_LAND          281.158             280.984             0.174         0.828
U_200             17.421              17.673            -0.252         1.823
VT_850             0.224               0.231            -0.007         1.885
Z3_500            56.391              56.377             0.014         0.168
