DIAG SET 1: JJA MEANS SOUTHERN EXTRATROPICS (90S-20S)
 
TEST CASE: LU2000.FHIST.ne30_ne30_wtopo_8thMOSART_branch (yrs 1985-1993)
 
CONTROL CASE: LU1850.FHIST.ne30_ne30_wtopo_8thMOSART_3_branch2 (yrs 1985-1993)
 
Variable    LU2000.FHIST.ne30_ne30_wtopo_8thMOSART_branch  LU1850.FHIST.ne30_ne30_wtopo_8thMOSART_3_branch2  LU2000.FHIST.ne30_ne30_wtopo_8thMOSART_branch        RMSE
                                                      -LU1850.FHIST.ne30_ne30_wtopo_8thMOSART_3_branch2
RESTOM          -112.183            -112.700             0.517         1.637
RESSURF          -84.997             -85.149             0.152         7.599
SOLIN            154.699             154.699             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200            4.285               4.345            -0.061         0.470
CLDHGH            38.879              38.403             0.476         2.287
CLDLOW            58.574              59.108            -0.534         2.007
CLDMED            36.722              36.368             0.355         2.159
CLDTOT            75.351              75.549            -0.198         1.748
EKE_850           63.033              63.747            -0.715         4.004
EP             1.174e-01           1.337e-01        -1.635e-02         0.291
FLNS              53.202              52.811             0.391         1.752
FLNSC             91.646              91.536             0.110         1.133
FLNT             215.947             216.210            -0.262         1.600
FLNTC            238.329             238.303             0.026         0.874
FSDS              77.607              77.229             0.378         1.952
FSDSC            107.135             107.197            -0.062         0.308
FSNS              70.293              69.993             0.301         1.756
FSNSC             95.985              96.084            -0.099         0.535
FSNSC_ICE          2.383               2.387            -0.004         0.022
FSNSC_LAND        78.600              79.061            -0.460         1.254
FSNT             103.764             103.510             0.255         1.543
FSNTC            127.798             127.889            -0.092         0.451
ICEAREA           13.382              13.382             0.000         0.000
LHFLX             82.798              83.102            -0.304         5.478
LWCF              22.382              22.093             0.289         1.185
PRECT              2.654               2.646             0.008         0.279
PRECT_LAND         1.011               1.070            -0.059         0.224
PRECT_OCEAN        3.133               3.105             0.029         0.303
PREH2O            12.982              13.013            -0.032         0.380
PREH2O_OCEAN      15.284              15.310            -0.026         0.389
PSI_200            6.673               6.622             0.050         0.169
PS               982.908             982.924            -0.016         1.354
PSL             1007.409            1007.406             0.003         1.400
QFLX               2.771               2.780            -0.009         0.171
SHFLX             19.291              19.229             0.062         2.351
SNOWHLND         437.466             437.458             0.008         0.907
SST               12.747              12.747             0.000         0.009
STRESS_MAG         0.112               0.112            -0.000         0.015
SWCF             -24.034             -24.380             0.346         1.594
T_850            271.567             271.537             0.030         0.335
TGCLDLWP          67.545              69.384            -1.838         6.257
TGCLDIWP          12.231              11.834             0.397         1.314
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.097               0.095             0.002         0.007
AODDUST            0.003               0.002             0.001         0.004
TREFHT           277.252             277.171             0.082         0.419
TS               278.303             278.213             0.090         0.410
TS_LAND          257.768             257.254             0.514         0.866
U_200             29.180              29.197            -0.017         1.387
VT_850            -0.717              -0.730             0.014         1.317
Z3_500            54.347              54.344             0.003         0.152
