DIAG SET 1: MAM MEANS SOUTHERN EXTRATROPICS (90S-20S)
 
TEST CASE: LU2000.FHIST.ne30_ne30_wtopo_8thMOSART_branch (yrs 1985-1993)
 
CONTROL CASE: LU1850.FHIST.ne30_ne30_wtopo_8thMOSART_3_branch2 (yrs 1985-1993)
 
Variable    LU2000.FHIST.ne30_ne30_wtopo_8thMOSART_branch  LU1850.FHIST.ne30_ne30_wtopo_8thMOSART_3_branch2  LU2000.FHIST.ne30_ne30_wtopo_8thMOSART_branch        RMSE
                                                      -LU1850.FHIST.ne30_ne30_wtopo_8thMOSART_3_branch2
RESTOM           -67.375             -67.623             0.248         1.903
RESSURF          -40.539             -40.646             0.107         8.222
SOLIN            232.700             232.700             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -0.199              -0.271             0.071         0.413
CLDHGH            39.541              39.135             0.406         2.627
CLDLOW            55.358              55.290             0.068         2.011
CLDMED            34.759              34.536             0.223         2.100
CLDTOT            74.387              73.958             0.429         2.203
EKE_850           50.427              49.806             0.622         3.696
EP            -2.408e-02          -1.805e-02        -6.034e-03         0.378
FLNS              50.048              49.968             0.081         2.014
FLNSC             86.447              86.377             0.070         1.341
FLNT             225.391             225.653            -0.262         1.935
FLNTC            246.854             246.926            -0.072         0.724
FSDS             118.501             118.489             0.013         3.001
FSDSC            165.152             165.177            -0.025         0.351
FSNS             107.045             107.063            -0.018         2.659
FSNSC            148.771             148.837            -0.066         0.552
FSNSC_ICE         20.522              20.643            -0.121         0.446
FSNSC_LAND       104.845             105.194            -0.349         1.240
FSNT             158.016             158.030            -0.014         2.284
FSNTC            196.066             196.109            -0.043         0.509
ICEAREA            5.515               5.515             0.000         0.000
LHFLX             80.367              80.599            -0.232         6.086
LWCF              21.463              21.273             0.190         1.500
PRECT              2.745               2.746            -0.001         0.362
PRECT_LAND         1.600               1.555             0.045         0.452
PRECT_OCEAN        3.041               3.049            -0.008         0.346
PREH2O            17.853              17.841             0.011         0.537
PREH2O_OCEAN      19.703              19.725            -0.022         0.464
PSI_200            8.041               8.104            -0.064         0.154
PS               982.991             983.037            -0.045         1.067
PSL             1007.313            1007.347            -0.034         1.079
QFLX               2.721               2.728            -0.007         0.187
SHFLX             17.168              17.142             0.026         2.120
SNOWHLND         437.326             437.312             0.014         0.923
SST               14.340              14.341            -0.000         0.015
STRESS_MAG         0.098               0.098            -0.001         0.013
SWCF             -38.049             -38.079             0.030         2.370
T_850            275.400             275.433            -0.033         0.297
TGCLDLWP          77.134              77.872            -0.738         5.930
TGCLDIWP          10.737              10.583             0.153         1.569
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.096               0.095             0.000         0.006
AODDUST            0.002               0.001             0.001         0.002
TREFHT           281.052             281.056            -0.003         0.301
TS               282.049             282.041             0.008         0.309
TS_LAND          263.225             263.193             0.032         0.637
U_200             23.345              23.318             0.027         1.358
VT_850            -0.444              -0.452             0.008         1.314
Z3_500            55.193              55.206            -0.013         0.119
