DIAG SET 1: ANN MEANS TROPICS (20N-20S)
 
TEST CASE: LU2000.FHIST.ne30_ne30_wtopo_8thMOSART_branch (yrs 1985-1993)
 
CONTROL CASE: LU1850.FHIST.ne30_ne30_wtopo_8thMOSART_3_branch2 (yrs 1985-1993)
 
Variable    LU2000.FHIST.ne30_ne30_wtopo_8thMOSART_branch  LU1850.FHIST.ne30_ne30_wtopo_8thMOSART_3_branch2  LU2000.FHIST.ne30_ne30_wtopo_8thMOSART_branch        RMSE
                                                      -LU1850.FHIST.ne30_ne30_wtopo_8thMOSART_3_branch2
RESTOM            63.991              63.683             0.308         1.291
RESSURF           28.626              28.301             0.325         3.082
SOLIN            408.274             408.274             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -0.318              -0.335             0.018         0.387
CLDHGH            57.311              56.386             0.925         1.657
CLDLOW            18.378              18.666            -0.288         0.918
CLDMED            19.567              19.369             0.198         1.285
CLDTOT            66.233              65.619             0.613         1.325
EKE_850           19.014              19.294            -0.280         1.850
EP             7.986e-02           8.968e-02        -9.822e-03         0.315
FLNS              58.831              58.509             0.321         1.207
FLNSC             70.539              70.307             0.232         0.973
FLNT             253.093             253.499            -0.405         1.845
FLNTC            280.882             281.011            -0.130         0.618
FSDS             242.328             242.256             0.072         2.265
FSDSC            290.167             290.204            -0.037         0.558
FSNS             224.637             224.730            -0.093         2.065
FSNSC            269.486             269.698            -0.212         0.768
FSNSC_ICE       -999.000            -999.000          -999.000      -999.000
FSNSC_LAND      -999.000            -999.000          -999.000      -999.000
FSNT             317.085             317.182            -0.097         1.844
FSNTC            358.924             359.095            -0.171         0.627
ICEAREA            0.000               0.000             0.000      -999.000
LHFLX            115.152             115.850            -0.698         3.118
LWCF              27.788              27.512             0.276         1.406
PRECT              3.888               3.900            -0.013         0.317
PRECT_LAND         4.713               4.737            -0.024         0.267
PRECT_OCEAN        3.620               3.630            -0.010         0.330
PREH2O            39.279              39.271             0.008         0.396
PREH2O_OCEAN      40.696              40.643             0.054         0.395
PSI_200           -0.617              -0.610            -0.007         0.070
PS               997.381             997.405            -0.024         0.110
PSL             1012.017            1012.045            -0.028         0.115
QFLX               3.967               3.990            -0.023         0.094
SHFLX             22.028              22.070            -0.042         1.042
SNOWHLND           0.000               0.000             0.000         0.000
SST               27.153              27.152             0.000         0.003
STRESS_MAG         0.048               0.048             0.000         0.002
SWCF             -41.839             -41.913             0.074         1.930
T_850            289.227             289.191             0.036         0.101
TGCLDLWP          43.438              43.566            -0.128         2.189
TGCLDIWP          15.076              15.118            -0.042         1.272
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.165               0.165             0.000         0.013
AODDUST            0.045               0.045            -0.000         0.011
TREFHT           298.475             298.439             0.036         0.129
TS               299.975             299.924             0.051         0.207
TS_LAND          298.764             298.558             0.206         0.431
U_200              3.510               3.555            -0.045         0.642
VT_850             0.276               0.289            -0.013         0.356
Z3_500            58.749              58.751            -0.002         0.009
