DIAG SET 1: JJA MEANS TROPICS (20N-20S)
 
TEST CASE: LU2000.FHIST.ne30_ne30_wtopo_8thMOSART_branch (yrs 1985-1993)
 
CONTROL CASE: LU1850.FHIST.ne30_ne30_wtopo_8thMOSART_3_branch2 (yrs 1985-1993)
 
Variable    LU2000.FHIST.ne30_ne30_wtopo_8thMOSART_branch  LU1850.FHIST.ne30_ne30_wtopo_8thMOSART_3_branch2  LU2000.FHIST.ne30_ne30_wtopo_8thMOSART_branch        RMSE
                                                      -LU1850.FHIST.ne30_ne30_wtopo_8thMOSART_3_branch2
RESTOM            44.923              44.490             0.433         2.007
RESSURF            9.319               8.647             0.671         5.214
SOLIN            389.251             389.251             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -0.177              -0.176            -0.002         0.593
CLDHGH            54.028              52.997             1.032         2.771
CLDLOW            20.829              21.073            -0.244         1.529
CLDMED            19.580              19.633            -0.053         1.824
CLDTOT            65.378              64.761             0.616         2.324
EKE_850           13.128              13.594            -0.466         1.458
EP             2.682e-01           2.675e-01         7.019e-04         0.474
FLNS              57.251              56.916             0.335         1.598
FLNSC             70.037              69.841             0.196         1.151
FLNT             253.385             253.752            -0.367         2.516
FLNTC            280.224             280.281            -0.057         0.732
FSDS             225.551             225.321             0.230         3.430
FSDSC            274.560             274.574            -0.014         1.115
FSNS             208.686             208.597             0.089         3.223
FSNSC            254.587             254.757            -0.171         1.191
FSNSC_ICE       -999.000            -999.000          -999.000      -999.000
FSNSC_LAND       227.673             228.486            -0.813         2.477
FSNT             298.308             298.242             0.066         2.834
FSNTC            340.892             341.008            -0.116         0.759
ICEAREA            0.000               0.000             0.000      -999.000
LHFLX            120.139             121.161            -1.021         5.277
LWCF              26.839              26.529             0.310         2.005
PRECT              3.846               3.882            -0.036         0.452
PRECT_LAND         4.085               4.080             0.006         0.406
PRECT_OCEAN        3.763               3.812            -0.049         0.465
PREH2O            39.266              39.234             0.032         0.575
PREH2O_OCEAN      40.759              40.731             0.028         0.570
PSI_200           -2.874              -2.837            -0.038         0.112
PS               998.310             998.345            -0.035         0.139
PSL             1012.989            1013.030            -0.041         0.151
QFLX               4.115               4.150            -0.035         0.153
SHFLX             21.977              21.873             0.104         1.450
SNOWHLND           0.000               0.000             0.000         0.000
SST               26.914              26.913             0.000         0.004
STRESS_MAG         0.066               0.067            -0.001         0.004
SWCF             -42.584             -42.766             0.182         2.922
T_850            288.961             288.942             0.020         0.140
TGCLDLWP          45.949              46.196            -0.248         3.668
TGCLDIWP          14.028              13.961             0.067         1.809
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.183               0.184            -0.001         0.027
AODDUST            0.043               0.045            -0.001         0.023
TREFHT           298.224             298.186             0.038         0.171
TS               299.656             299.593             0.063         0.257
TS_LAND          298.165             297.907             0.258         0.534
U_200             -1.044              -1.093             0.049         0.948
VT_850             3.198               3.268            -0.070         0.594
Z3_500            58.802              58.802             0.001         0.010
