DIAG SET 1: MAM MEANS TROPICS (20N-20S)
 
TEST CASE: LU2000.FHIST.ne30_ne30_wtopo_8thMOSART_branch (yrs 1985-1993)
 
CONTROL CASE: LU1850.FHIST.ne30_ne30_wtopo_8thMOSART_3_branch2 (yrs 1985-1993)
 
Variable    LU2000.FHIST.ne30_ne30_wtopo_8thMOSART_branch  LU1850.FHIST.ne30_ne30_wtopo_8thMOSART_3_branch2  LU2000.FHIST.ne30_ne30_wtopo_8thMOSART_branch        RMSE
                                                      -LU1850.FHIST.ne30_ne30_wtopo_8thMOSART_3_branch2
RESTOM            72.310              72.215             0.096         2.165
RESSURF           38.861              39.217            -0.357         6.092
SOLIN            412.811             412.811             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -0.344              -0.369             0.025         0.878
CLDHGH            59.379              58.161             1.218         2.981
CLDLOW            15.430              15.775            -0.344         1.414
CLDMED            19.031              18.812             0.219         2.360
CLDTOT            66.261              65.371             0.889         2.641
EKE_850           14.006              14.228            -0.222         2.198
EP             5.942e-02           7.538e-02        -1.597e-02         0.571
FLNS              60.129              59.688             0.441         1.882
FLNSC             70.299              69.962             0.337         1.484
FLNT             253.439             253.745            -0.306         3.499
FLNTC            281.853             281.862            -0.009         1.018
FSDS             251.459             251.417             0.042         4.037
FSDSC            294.843             294.926            -0.083         0.934
FSNS             233.132             233.283            -0.152         3.643
FSNSC            273.774             274.020            -0.246         1.046
FSNSC_ICE       -999.000            -999.000          -999.000      -999.000
FSNSC_LAND       243.259             244.010            -0.751         2.155
FSNT             325.749             325.960            -0.210         3.275
FSNTC            363.967             364.234            -0.267         0.818
ICEAREA            0.000               0.000             0.000      -999.000
LHFLX            112.294             112.518            -0.224         6.175
LWCF              28.414              28.117             0.296         2.760
PRECT              3.812               3.802             0.010         0.549
PRECT_LAND         4.951               5.122            -0.171         0.581
PRECT_OCEAN        3.449               3.383             0.067         0.539
PREH2O            39.970              40.088            -0.119         0.833
PREH2O_OCEAN      41.437              41.428             0.009         0.717
PSI_200            0.118               0.130            -0.012         0.132
PS               996.909             996.997            -0.088         0.188
PSL             1011.519            1011.610            -0.091         0.191
QFLX               3.871               3.877            -0.006         0.179
SHFLX             21.849              21.860            -0.011         1.683
SNOWHLND           0.000               0.000             0.000         0.000
SST               27.682              27.682             0.000         0.003
STRESS_MAG         0.044               0.043             0.000         0.004
SWCF             -38.217             -38.274             0.057         3.483
T_850            289.784             289.742             0.042         0.173
TGCLDLWP          38.670              39.040            -0.370         3.849
TGCLDIWP          15.634              15.802            -0.168         2.601
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.157               0.154             0.003         0.018
AODDUST            0.053               0.051             0.002         0.014
TREFHT           299.017             298.993             0.023         0.142
TS               300.580             300.546             0.035         0.220
TS_LAND          299.628             299.495             0.133         0.456
U_200              7.726               8.122            -0.396         1.366
VT_850            -0.085              -0.038            -0.047         0.686
Z3_500            58.772              58.780            -0.008         0.018
