DIAG SET 1: SON MEANS TROPICS (20N-20S)
 
TEST CASE: LU2000.FHIST.ne30_ne30_wtopo_8thMOSART_branch (yrs 1985-1993)
 
CONTROL CASE: LU1850.FHIST.ne30_ne30_wtopo_8thMOSART_3_branch2 (yrs 1985-1993)
 
Variable    LU2000.FHIST.ne30_ne30_wtopo_8thMOSART_branch  LU1850.FHIST.ne30_ne30_wtopo_8thMOSART_3_branch2  LU2000.FHIST.ne30_ne30_wtopo_8thMOSART_branch        RMSE
                                                      -LU1850.FHIST.ne30_ne30_wtopo_8thMOSART_3_branch2
RESTOM            70.842              70.591             0.251         2.385
RESSURF           37.999              38.124            -0.124         4.615
SOLIN            418.022             418.022             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -0.298              -0.300             0.003         0.869
CLDHGH            57.056              56.148             0.907         2.711
CLDLOW            19.428              19.727            -0.299         1.562
CLDMED            19.508              19.261             0.247         2.094
CLDTOT            66.544              65.869             0.675         2.345
EKE_850           14.385              14.124             0.261         2.340
EP            -3.790e-02          -4.752e-02         9.621e-03         0.558
FLNS              58.442              58.050             0.391         1.800
FLNSC             70.796              70.483             0.313         1.359
FLNT             253.594             253.973            -0.379         3.006
FLNTC            280.841             280.985            -0.145         0.940
FSDS             247.547             247.467             0.079         4.067
FSDSC            297.557             297.698            -0.141         0.842
FSNS             229.757             229.906            -0.148         3.736
FSNSC            276.763             277.140            -0.377         1.074
FSNSC_ICE       -999.000            -999.000          -999.000      -999.000
FSNSC_LAND       246.635             247.438            -0.803         2.166
FSNT             324.436             324.564            -0.128         3.302
FSNTC            367.940             368.245            -0.304         0.868
ICEAREA            0.000               0.000             0.000      -999.000
LHFLX            110.559             110.947            -0.389         4.798
LWCF              27.246              27.012             0.234         2.347
PRECT              3.862               3.887            -0.024         0.548
PRECT_LAND         4.875               4.922            -0.047         0.566
PRECT_OCEAN        3.536               3.551            -0.016         0.540
PREH2O            39.264              39.308            -0.044         0.621
PREH2O_OCEAN      40.371              40.334             0.037         0.568
PSI_200           -1.179              -1.161            -0.018         0.150
PS               997.369             997.326             0.043         0.124
PSL             1011.980            1011.938             0.042         0.129
QFLX               3.824               3.839            -0.015         0.135
SHFLX             22.758              22.785            -0.027         1.514
SNOWHLND           0.000               0.000             0.000         0.000
SST               26.916              26.916             0.000         0.004
STRESS_MAG         0.048               0.048            -0.001         0.003
SWCF             -43.504             -43.681             0.176         3.410
T_850            289.325             289.264             0.061         0.160
TGCLDLWP          44.869              45.202            -0.333         3.926
TGCLDIWP          15.265              15.367            -0.102         2.341
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.164               0.162             0.003         0.019
AODDUST            0.042               0.041             0.001         0.017
TREFHT           298.447             298.398             0.049         0.167
TS               299.992             299.931             0.061         0.267
TS_LAND          299.597             299.354             0.244         0.556
U_200              2.612               2.047             0.564         1.301
VT_850             0.245               0.242             0.002         0.522
Z3_500            58.754              58.750             0.003         0.011
