DIAG SET 5: REGIONAL HYDROLOGIC CYCLE OVER LAND
 
TEST CASE (case1):      LU2000_ne240-ne240  (yrs 1979-1980)
 
REFERENCE CASE (case2): LU1850_ne240-ne240  (yrs 1979-1980)
 
Region                  case1               case2               case1               case2               case1               case2               case1               case2               case1               case2               case1               case2    
                             ppt: rain+snow                        canopy evaporation              canopy evap:QVEGE/(RAIN+SNOW)*100             canopy transpiration                     ground evaporation                     Total Liquid Runoff
 
Alaskan Arctic         604.265             606.931              52.237              47.970               9.478               8.571              88.759              90.181              37.644              44.275             250.946             263.173
Canadian Arctic        372.627             363.028               4.539               4.587               1.188               1.182               7.667               7.869              52.189              58.038             231.118             232.998
Greenland              664.047             654.439               1.442               1.248               0.168               0.157               2.217               2.472              21.672              24.279             190.939             199.369
Russian Arctic         392.278             386.799              23.075              22.486               6.162               6.128              78.055              75.592              59.538              59.403             179.266             178.181
Antarctica             246.298             228.755               0.000               0.000               0.000               0.000               0.000               0.000              16.484              17.521              10.795              10.993
Alaska                1148.688            1160.469              67.304              69.565               8.038               8.799              80.389              86.334              68.591              67.046             682.982             694.860
Northwest Canada       502.904             462.850              67.167              68.143              13.006              14.092             148.562             159.829             120.484             121.277             143.176             103.778
Central Canada         534.406             542.652              64.974              65.853              12.286              12.056             161.834             161.863             175.047             173.417             182.427             174.340
Eastern Canada         834.018             932.956              60.233              54.450               6.960               5.447             100.522              77.852             136.689             131.759             538.636             630.278
Northern Europe        849.206             918.804              98.117              93.902              13.532              11.571             142.459             111.986              73.882              72.645             519.684             576.073
Western Siberia        563.672             543.874              76.735              72.677              13.723              13.463             144.729             133.432              98.165             106.750             266.820             263.436
Eastern Siberia        601.155             646.435              62.725              65.703              10.134               9.951             139.503             127.944             105.160             109.658             240.924             279.826
Western U.S.           547.323             555.382              41.916              39.912               7.933               7.425             123.781             111.373             172.583             179.623             204.636             226.319
Central U.S.           592.360             562.682              61.003              70.433              11.233              13.410             261.218             265.307             192.006             182.138             150.783             151.385
Eastern U.S.          1177.528            1194.769             107.356             107.754               8.907               8.993             339.442             339.912             246.068             247.381             508.540             546.485
Europe                 802.734             895.302              99.709             111.169              13.396              13.590             263.577             252.156             100.013              99.269             391.050             429.712
Mediterranean          633.443             587.269              65.635              65.321              10.465              11.390             279.671             259.889             126.366             117.592             187.879             186.067
Central America       4818.939            5055.307             330.074             367.149               7.826               8.444             582.102             631.256             221.782             162.414            3594.360            3802.803
Amazonia              2500.950            2389.265             439.135             437.602              18.325              19.030             758.385             772.681             140.850             135.308            1143.859            1054.634
Central Africa        2355.476            2233.473             360.731             369.625              16.097              17.761             657.987             679.480             142.584             126.253            1081.588             966.026
Indonesia             4113.404            4050.685             421.285             467.000              12.214              13.980             657.030             721.545             174.205              98.117            2806.502            2687.625
Brazil                1427.834            1474.017             211.979             238.844              15.491              16.961             567.876             628.654             225.783             176.307             434.703             437.596
Sahel                 1464.630            1355.309             117.724             130.599               8.409               9.722             313.269             343.312             327.433             282.926             606.435             482.440
Southern Africa       1242.709            1200.522             134.057             140.168              11.451              12.472             332.117             360.490             316.543             293.772             392.721             354.717
India                 1428.787            1818.738              85.566             116.435               6.421               6.488             277.630             347.611             433.657             429.803             597.798             885.862
Indochina             2294.307            2250.679             224.937             247.175              10.502              11.901             546.831             600.009             243.724             208.338            1200.111            1127.877
Sahara Desert          154.037             130.189               2.213               2.008               0.605               0.641              13.757              11.877             100.288              83.153              17.371              15.573
Arabian Peninsula      179.922             183.545               2.677               2.522               0.849               0.772              19.811              16.780             113.340             116.922              18.886              23.320
Australia              721.418             682.128              49.402              49.025               6.845               7.352             189.282             185.044             251.120             241.620              97.570              91.932
Central Asia           266.490             250.912              19.589              16.528               7.461               6.554              92.621              83.075             119.871             113.185              45.048              57.223
Mongolia               376.692             379.937              39.699              41.343               9.585              10.192             124.979             117.844             126.546             122.583              42.650              59.842
Tibetan Plateau        574.453             584.251              65.086              71.866               9.369              10.853             164.101             175.800             125.158             117.644             154.889             167.504
Central Asia           412.004             374.376              44.628              39.872              10.159               9.784             122.887             114.872             129.374             123.630              98.198              92.895
NE China               549.652             579.705              59.673              68.195              10.643              11.994             215.814             217.252             130.079             127.957              97.292             124.192
Eastern China         1191.186            1400.782             107.124             117.898               9.354               8.666             347.795             351.905             190.444             187.983             485.758             664.622
Tibetan Plateau        574.453             584.252              65.086              71.866               9.369              10.853             164.101             175.800             125.159             117.644             154.889             167.504
Southern Asia         1734.224            1837.239             116.264             128.858               7.418               7.446             324.135             354.909             228.045             216.670            1052.783            1108.869
Sahara and Arabia      179.646             168.254               4.487               4.236               1.079               1.053              22.726              20.179             107.977              98.574              19.853              20.953
MedSea and MidEast     470.015             435.852              36.558              35.674               6.550               6.865             179.017             165.030             125.092             115.581             117.956             118.341
Tigris Euphrates       429.942             438.325              25.711              26.167               5.094               5.113             166.858             149.090             133.436             129.891              82.218             105.062
Polar                  592.520             597.803              38.627              37.360               6.619               6.332              71.817              65.229              72.437              74.335             304.185             315.194
Lost Boreal Forest     165.630             134.933               0.000               0.000               0.000               0.000               0.000               0.000               4.705               6.556             109.196              90.915
N. Hemisphere Land     935.488             957.503              87.241              92.374               8.588               8.779             212.419             217.594             157.521             150.109             441.205             458.857
S. Hemisphere Land    1175.207            1146.087             130.308             137.428               8.418               9.037             297.909             313.643             170.021             154.706             475.401             446.949
Global                1014.212            1019.439             101.384             107.169               8.532               8.864             240.493             249.136             161.626             151.620             452.440             454.949
