DIAG SET 1: JJA MEANS NORTHERN EXTRATROPICS (90N-20N)
 
TEST CASE: LU2000.FHIST.ne30_ne30_wtopo_8thMOSART_branch (yrs 1985-1993)
 
CONTROL CASE: LU1850.FHIST.ne30_ne30_wtopo_8thMOSART_3_branch2 (yrs 1985-1993)
 
Variable    LU2000.FHIST.ne30_ne30_wtopo_8thMOSART_branch  LU1850.FHIST.ne30_ne30_wtopo_8thMOSART_3_branch2  LU2000.FHIST.ne30_ne30_wtopo_8thMOSART_branch        RMSE
                                                      -LU1850.FHIST.ne30_ne30_wtopo_8thMOSART_3_branch2
RESTOM            56.787              56.667             0.120         3.578
RESSURF           62.612              63.003            -0.391         4.723
SOLIN            445.969             445.969             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -4.071              -4.133             0.062         0.379
CLDHGH            38.871              38.744             0.127         2.387
CLDLOW            37.636              37.400             0.236         2.460
CLDMED            25.803              25.993            -0.190         2.120
CLDTOT            62.318              62.228             0.090         2.379
EKE_850           28.751              28.963            -0.212         2.396
EP            -3.758e-01          -3.838e-01         7.980e-03         0.408
FLNS              57.193              57.539            -0.346         2.740
FLNSC             83.408              83.676            -0.267         2.016
FLNT             248.710             248.804            -0.093         2.214
FLNTC            269.142             269.281            -0.139         1.119
FSDS             237.556             237.697            -0.141         5.785
FSDSC            320.097             319.884             0.214         1.153
FSNS             203.102             203.074             0.028         5.128
FSNSC            275.355             274.974             0.381         2.456
FSNSC_ICE        165.370             161.993             3.377         4.718
FSNSC_LAND       258.676             258.198             0.477         3.178
FSNT             305.497             305.471             0.027         4.516
FSNTC            369.779             369.473             0.306         2.214
ICEAREA            8.076               8.076             0.000         0.000
LHFLX             55.392              54.173             1.219         5.146
LWCF              20.432              20.478            -0.046         1.718
PRECT              2.330               2.297             0.033         0.396
PRECT_LAND         2.493               2.429             0.064         0.414
PRECT_OCEAN        2.325               2.315             0.009         0.402
PREH2O            25.839              25.823             0.016         0.628
PREH2O_OCEAN      30.967              31.007            -0.040         0.685
PSI_200           -3.828              -3.817            -0.011         0.112
PS               974.816             974.762             0.054         0.623
PSL             1012.931            1012.880             0.051         0.778
QFLX               1.954               1.913             0.041         0.156
SHFLX             27.905              28.358            -0.454         2.913
SNOWHLND          23.236              23.312            -0.076         2.937
SST               19.640              19.640            -0.000         0.004
STRESS_MAG         0.046               0.044             0.002         0.005
SWCF             -64.282             -64.002            -0.280         4.550
T_850            284.649             284.799            -0.150         0.470
TGCLDLWP          70.364              70.169             0.195         6.962
TGCLDIWP          13.518              13.596            -0.078         2.107
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.182               0.186            -0.005         0.020
AODDUST            0.076               0.079            -0.003         0.018
TREFHT           290.815             290.890            -0.075         0.526
TS               291.695             291.774            -0.080         0.572
TS_LAND          293.424             293.599            -0.175         0.848
U_200              9.383               9.354             0.029         1.058
VT_850             0.127               0.139            -0.012         1.232
Z3_500            57.619              57.628            -0.009         0.085
