DIAG SET 1: MAM MEANS NORTHERN EXTRATROPICS (90N-20N)
 
TEST CASE: LU2000.FHIST.ne30_ne30_wtopo_8thMOSART_branch (yrs 1985-1993)
 
CONTROL CASE: LU1850.FHIST.ne30_ne30_wtopo_8thMOSART_3_branch2 (yrs 1985-1993)
 
Variable    LU2000.FHIST.ne30_ne30_wtopo_8thMOSART_branch  LU1850.FHIST.ne30_ne30_wtopo_8thMOSART_3_branch2  LU2000.FHIST.ne30_ne30_wtopo_8thMOSART_branch        RMSE
                                                      -LU1850.FHIST.ne30_ne30_wtopo_8thMOSART_3_branch2
RESTOM            16.441              16.983            -0.542         3.609
RESSURF           19.874              19.800             0.075         8.936
SOLIN            367.733             367.733             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200            0.558               0.658            -0.100         0.648
CLDHGH            40.329              40.499            -0.170         3.254
CLDLOW            42.407              41.954             0.453         2.679
CLDMED            34.506              34.543            -0.037         3.024
CLDTOT            68.284              68.001             0.283         2.728
EKE_850           44.185              45.352            -1.167         4.104
EP            -1.864e-02          -4.090e-02         2.226e-02         0.315
FLNS              63.382              63.686            -0.304         2.673
FLNSC             92.730              93.124            -0.394         2.076
FLNT             227.437             227.311             0.127         2.680
FLNTC            247.211             247.272            -0.061         1.406
FSDS             210.278             210.409            -0.131         4.974
FSDSC            270.151             270.337            -0.186         1.363
FSNS             165.765             166.279            -0.514         4.951
FSNSC            215.253             215.685            -0.432         2.961
FSNSC_ICE         42.272              42.574            -0.302         0.842
FSNSC_LAND       195.774             196.600            -0.826         4.490
FSNT             243.878             244.294            -0.415         4.236
FSNTC            287.006             287.370            -0.365         2.743
ICEAREA           13.130              13.130             0.000         0.000
LHFLX             54.743              54.578             0.165         6.146
LWCF              19.773              19.961            -0.188         1.874
PRECT              1.864               1.882            -0.018         0.314
PRECT_LAND         1.474               1.520            -0.046         0.229
PRECT_OCEAN        2.484               2.469             0.014         0.404
PREH2O            14.271              14.281            -0.010         0.589
PREH2O_OCEAN      19.735              19.691             0.044         0.708
PSI_200           -8.185              -8.257             0.072         0.294
PS               975.581             975.458             0.123         1.939
PSL             1015.148            1015.010             0.137         2.048
QFLX               1.845               1.841             0.004         0.192
SHFLX             27.766              28.215            -0.449         3.830
SNOWHLND          28.735              29.020            -0.284         3.000
SST               15.524              15.524             0.000         0.009
STRESS_MAG         0.051               0.047             0.004         0.015
SWCF             -43.127             -43.076            -0.051         3.598
T_850            274.905             274.976            -0.070         0.680
TGCLDLWP          54.145              54.110             0.034         7.480
TGCLDIWP          12.258              12.343            -0.086         1.991
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.157               0.152             0.004         0.028
AODDUST            0.074               0.072             0.003         0.025
TREFHT           280.849             280.950            -0.102         0.659
TS               281.822             281.933            -0.111         0.645
TS_LAND          279.747             280.010            -0.262         0.917
U_200             20.258              20.547            -0.289         2.687
VT_850             0.553               0.567            -0.014         1.629
Z3_500            55.753              55.755            -0.002         0.236
