DIAG SET 1: ANN MEANS NORTHERN EXTRATROPICS (90N-20N)
 
TEST CASE: LU2000.FHIST.ne30_ne30_wtopo_8thMOSART_branch (yrs 1985-1993)
 
CONTROL CASE: LU1850.FHIST.ne30_ne30_wtopo_8thMOSART_3_branch2 (yrs 1985-1993)
 
Variable    LU2000.FHIST.ne30_ne30_wtopo_8thMOSART_branch  LU1850.FHIST.ne30_ne30_wtopo_8thMOSART_3_branch2  LU2000.FHIST.ne30_ne30_wtopo_8thMOSART_branch        RMSE
                                                      -LU1850.FHIST.ne30_ne30_wtopo_8thMOSART_3_branch2
RESTOM           -24.830             -24.767            -0.063         1.784
RESSURF           -7.845              -8.074             0.229         6.035
SOLIN            305.553             305.553             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -0.309              -0.258            -0.051         0.313
CLDHGH            39.459              39.329             0.131         1.807
CLDLOW            43.211              43.224            -0.013         1.633
CLDMED            33.175              33.097             0.079         1.640
CLDTOT            66.908              66.805             0.103         1.505
EKE_850           43.970              44.264            -0.294         2.419
EP            -9.622e-02          -1.030e-01         6.760e-03         0.198
FLNS              60.029              60.013             0.016         1.600
FLNSC             89.124              89.179            -0.055         1.271
FLNT             231.186             231.133             0.053         1.501
FLNTC            250.557             250.528             0.029         0.966
FSDS             167.663             167.473             0.189         2.359
FSDSC            218.916             218.883             0.033         0.598
FSNS             138.920             138.912             0.008         2.339
FSNSC            182.678             182.778            -0.100         1.516
FSNSC_ICE         56.271              55.678             0.592         1.175
FSNSC_LAND      -999.000            -999.000          -999.000      -999.000
FSNT             206.357             206.366            -0.009         2.027
FSNTC            245.582             245.698            -0.116         1.421
ICEAREA           10.551              10.551             0.000         0.000
LHFLX             61.158              61.124             0.034         4.058
LWCF              19.371              19.395            -0.024         1.026
PRECT              2.178               2.183            -0.005         0.205
PRECT_LAND         1.707               1.726            -0.018         0.150
PRECT_OCEAN        2.873               2.862             0.011         0.262
PREH2O            17.419              17.435            -0.017         0.335
PREH2O_OCEAN      23.379              23.395            -0.016         0.389
PSI_200           -6.636              -6.638             0.003         0.168
PS               975.568             975.483             0.085         1.223
PSL             1015.109            1015.028             0.081         1.381
QFLX               2.081               2.080             0.001         0.129
SHFLX             25.578              25.849            -0.271         2.389
SNOWHLND          25.698              25.830            -0.132         2.763
SST               17.617              17.617             0.001         0.009
STRESS_MAG         0.051               0.050             0.001         0.011
SWCF             -39.225             -39.332             0.107         1.797
T_850            276.557             276.566            -0.009         0.407
TGCLDLWP          61.196              61.604            -0.407         4.699
TGCLDIWP          11.919              11.927            -0.008         1.113
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.152               0.152            -0.000         0.013
AODDUST            0.059               0.060            -0.000         0.012
TREFHT           282.386             282.385             0.001         0.525
TS               283.380             283.385            -0.004         0.515
TS_LAND          280.214             280.283            -0.069         0.743
U_200             17.990              18.167            -0.178         1.484
VT_850             0.361               0.375            -0.014         1.015
Z3_500            56.153              56.151             0.001         0.147
