DIAG SET 1: ANN MEANS SOUTHERN EXTRATROPICS (90S-20S)
 
TEST CASE: LU2000.FHIST.ne30_ne30_wtopo_8thMOSART_branch (yrs 1985-1993)
 
CONTROL CASE: LU1850.FHIST.ne30_ne30_wtopo_8thMOSART_3_branch2 (yrs 1985-1993)
 
Variable    LU2000.FHIST.ne30_ne30_wtopo_8thMOSART_branch  LU1850.FHIST.ne30_ne30_wtopo_8thMOSART_3_branch2  LU2000.FHIST.ne30_ne30_wtopo_8thMOSART_branch        RMSE
                                                      -LU1850.FHIST.ne30_ne30_wtopo_8thMOSART_3_branch2
RESTOM           -22.231             -22.677             0.446         1.296
RESSURF           -3.006              -3.146             0.140         3.950
SOLIN            305.549             305.549             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200            0.645               0.615             0.031         0.219
CLDHGH            38.552              38.232             0.321         1.332
CLDLOW            55.571              55.848            -0.277         1.068
CLDMED            34.209              33.960             0.249         0.995
CLDTOT            73.698              73.632             0.066         1.086
EKE_850           52.270              52.396            -0.126         1.882
EP            -3.374e-03          -6.096e-03         2.722e-03         0.174
FLNS              51.248              51.053             0.195         1.166
FLNSC             88.061              88.034             0.026         0.824
FLNT             225.192             225.360            -0.167         1.009
FLNTC            246.119             246.124            -0.005         0.416
FSDS             161.671             161.343             0.327         1.882
FSDSC            224.055             224.146            -0.092         0.331
FSNS             138.171             137.881             0.290         1.619
FSNSC            194.037             194.155            -0.118         0.586
FSNSC_ICE         68.597              68.705            -0.109         1.435
FSNSC_LAND      -999.000            -999.000          -999.000      -999.000
FSNT             202.961             202.683             0.279         1.365
FSNTC            252.509             252.589            -0.081         0.526
ICEAREA            9.491               9.491             0.000         0.000
LHFLX             72.967              72.999            -0.032         3.045
LWCF              20.927              20.764             0.163         0.741
PRECT              2.468               2.472            -0.004         0.155
PRECT_LAND         1.550               1.550            -0.001         0.189
PRECT_OCEAN        2.745               2.749            -0.004         0.152
PREH2O            16.411              16.408             0.003         0.273
PREH2O_OCEAN      18.550              18.571            -0.021         0.255
PSI_200            7.228               7.226             0.003         0.070
PS               982.619             982.681            -0.061         0.537
PSL             1006.777            1006.830            -0.053         0.548
QFLX               2.465               2.466            -0.001         0.092
SHFLX             16.962              16.975            -0.014         1.148
SNOWHLND         437.414             437.399             0.015         0.911
SST               13.960              13.960             0.000         0.004
STRESS_MAG         0.099               0.099            -0.000         0.006
SWCF             -49.547             -49.906             0.359         1.466
T_850            274.669             274.662             0.007         0.155
TGCLDLWP          75.623              76.891            -1.268         3.116
TGCLDIWP          10.463              10.223             0.239         0.753
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.107               0.106             0.002         0.005
AODDUST            0.004               0.002             0.001         0.004
TREFHT           280.373             280.355             0.018         0.154
TS               281.271             281.244             0.027         0.178
TS_LAND          265.457             265.323             0.134         0.415
U_200             24.537              24.571            -0.033         0.707
VT_850            -0.506              -0.509             0.002         0.611
Z3_500            54.987              54.994            -0.008         0.057
