DIAG SET 1: DJF MEANS TROPICS (20N-20S)
 
TEST CASE: LU2000.FHIST.ne30_ne30_wtopo_8thMOSART_branch (yrs 1985-1993)
 
CONTROL CASE: LU1850.FHIST.ne30_ne30_wtopo_8thMOSART_3_branch2 (yrs 1985-1993)
 
Variable    LU2000.FHIST.ne30_ne30_wtopo_8thMOSART_branch  LU1850.FHIST.ne30_ne30_wtopo_8thMOSART_3_branch2  LU2000.FHIST.ne30_ne30_wtopo_8thMOSART_branch        RMSE
                                                      -LU1850.FHIST.ne30_ne30_wtopo_8thMOSART_3_branch2
RESTOM            68.055              67.509             0.545         2.435
RESSURF           28.361              27.156             1.205         7.784
SOLIN            413.226             413.226             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -0.458              -0.498             0.040         0.963
CLDHGH            58.764              58.265             0.499         3.651
CLDLOW            17.844              18.176            -0.332         1.786
CLDMED            20.166              19.857             0.310         3.362
CLDTOT            66.745              66.537             0.208         3.368
EKE_850           13.702              14.007            -0.304         2.915
EP             3.440e-02           5.680e-02        -2.241e-02         0.841
FLNS              59.551              59.333             0.218         2.055
FLNSC             71.101              70.952             0.149         1.404
FLNT             251.903             252.417            -0.514         4.806
FLNTC            280.609             280.872            -0.263         1.494
FSDS             244.871             244.740             0.131         5.926
FSDSC            293.922             293.794             0.129         0.783
FSNS             227.074             227.063             0.011         5.601
FSNSC            273.020             273.043            -0.023         0.885
FSNSC_ICE       -999.000            -999.000          -999.000      -999.000
FSNSC_LAND       244.849             245.169            -0.320         1.676
FSNT             319.958             319.926             0.032         4.985
FSNTC            363.100             363.084             0.016         0.643
ICEAREA            0.000               0.000             0.000      -999.000
LHFLX            117.629             118.823            -1.193         7.330
LWCF              28.705              28.455             0.250         3.604
PRECT              4.025               4.040            -0.016         0.841
PRECT_LAND         4.941               4.833             0.108         0.711
PRECT_OCEAN        3.725               3.783            -0.058         0.876
PREH2O            38.547              38.423             0.124         1.093
PREH2O_OCEAN      40.145              40.052             0.093         1.117
PSI_200            1.518               1.470             0.048         0.171
PS               996.902             996.987            -0.085         0.350
PSL             1011.548            1011.640            -0.092         0.360
QFLX               4.059               4.097            -0.038         0.213
SHFLX             21.532              21.751            -0.218         1.774
SNOWHLND           0.000               0.000             0.000         0.000
SST               27.078              27.078             0.000         0.003
STRESS_MAG         0.054               0.055            -0.001         0.006
SWCF             -43.142             -43.158             0.016         5.056
T_850            288.818             288.798             0.019         0.191
TGCLDLWP          44.273              44.086             0.187         5.636
TGCLDIWP          15.393              15.356             0.038         2.886
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.155               0.159            -0.004         0.014
AODDUST            0.041               0.043            -0.002         0.010
TREFHT           298.191             298.157             0.034         0.170
TS               299.653             299.603             0.050         0.214
TS_LAND          297.640             297.432             0.208         0.447
U_200              4.767               5.248            -0.481         1.471
VT_850            -2.338              -2.389             0.051         0.921
Z3_500            58.660              58.671            -0.010         0.027
