DIAG SET 1: ANN MEANS GLOBAL
 
TEST CASE: LU2000.FHIST.ne30_ne30_wtopo_8thMOSART_branch (yrs 1985-1993)
 
CONTROL CASE: LU1850.FHIST.ne30_ne30_wtopo_8thMOSART_3_branch2 (yrs 1985-1993)
 
Variable    LU2000.FHIST.ne30_ne30_wtopo_8thMOSART_branch  LU1850.FHIST.ne30_ne30_wtopo_8thMOSART_3_branch2  LU2000.FHIST.ne30_ne30_wtopo_8thMOSART_branch        RMSE
                                                      -LU1850.FHIST.ne30_ne30_wtopo_8thMOSART_3_branch2
RESTOM             6.103               5.872             0.231         1.474
RESSURF            6.104               5.872             0.232         4.519
SOLIN            340.331             340.331             0.000         0.000
AAM            1.464e+26           1.472e+26        -8.547e+23      -999.000
CHI_200            0.004               0.004            -0.001         0.314
CLDHGH            45.204              44.741             0.462         1.612
CLDLOW            38.890              39.084            -0.193         1.243
CLDMED            28.910              28.734             0.175         1.332
CLDTOT            68.925              68.661             0.263         1.317
EKE_850           37.896              38.129            -0.233         2.062
EP            -5.899e-03          -5.710e-03        -1.898e-04         0.238
FLNS              56.719              56.541             0.179         1.338
FLNSC             82.480              82.411             0.069         1.039
FLNT             236.621             236.796            -0.175         1.495
FLNTC            259.357             259.393            -0.036         0.704
FSDS             190.961             190.766             0.195         2.179
FSDSC            244.740             244.772            -0.032         0.510
FSNS             167.695             167.628             0.067         2.030
FSNSC            215.826             215.970            -0.144         1.036
FSNSC_ICE         61.019              60.696             0.322         1.282
FSNSC_LAND      -999.000            -999.000          -999.000      -999.000
FSNT             242.724             242.668             0.056         1.768
FSNTC            286.248             286.371            -0.123         0.945
ICEAREA           20.041              20.041             0.000         0.000
LHFLX             83.345              83.580            -0.236         3.436
LWCF              22.735              22.596             0.139         1.095
PRECT              2.853               2.860            -0.007         0.236
PRECT_LAND         2.493               2.509            -0.016         0.196
PRECT_OCEAN        3.118               3.121            -0.003         0.259
PREH2O            24.487              24.489            -0.002         0.339
PREH2O_OCEAN      28.348              28.339             0.010         0.347
PSI_200           -0.013              -0.012            -0.001         0.112
PS               985.285             985.286            -0.000         0.771
PSL             1011.307            1011.307            -0.000         0.857
QFLX               2.847               2.854            -0.008         0.106
SHFLX             21.526              21.635            -0.108         1.640
SNOWHLND          98.658              98.725            -0.066         2.041
SST               20.043              20.042             0.000         0.005
STRESS_MAG         0.068               0.068             0.000         0.007
SWCF             -43.524             -43.703             0.179         1.744
T_850            280.395             280.384             0.011         0.255
TGCLDLWP          59.955              60.552            -0.597         3.484
TGCLDIWP          12.506              12.444             0.062         1.070
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.142               0.142             0.001         0.011
AODDUST            0.036               0.036             0.000         0.010
TREFHT           287.168             287.149             0.019         0.323
TS               288.302             288.277             0.025         0.336
TS_LAND          282.327             282.282             0.045         0.616
U_200             15.252              15.337            -0.085         1.016
VT_850             0.050               0.058            -0.008         0.707
Z3_500            56.646              56.649            -0.003         0.091
