DIAG SET 1: JJA MEANS GLOBAL
 
TEST CASE: LU2000.FHIST.ne30_ne30_wtopo_8thMOSART_branch (yrs 1985-1993)
 
CONTROL CASE: LU1850.FHIST.ne30_ne30_wtopo_8thMOSART_3_branch2 (yrs 1985-1993)
 
Variable    LU2000.FHIST.ne30_ne30_wtopo_8thMOSART_branch  LU1850.FHIST.ne30_ne30_wtopo_8thMOSART_3_branch2  LU2000.FHIST.ne30_ne30_wtopo_8thMOSART_branch        RMSE
                                                      -LU1850.FHIST.ne30_ne30_wtopo_8thMOSART_3_branch2
RESTOM            -3.110              -3.467             0.357         2.546
RESSURF           -4.248              -4.396             0.148         5.973
SOLIN            330.440             330.440             0.000         0.000
AAM            1.204e+26           1.204e+26         1.015e+21      -999.000
CHI_200            0.011               0.011            -0.000         0.489
CLDHGH            44.006              43.457             0.549         2.493
CLDLOW            38.870              39.051            -0.181         2.031
CLDMED            27.307              27.270             0.037         2.038
CLDTOT            67.664              67.491             0.173         2.170
EKE_850           34.384              34.845            -0.461         2.794
EP             5.331e-03           7.861e-03        -2.530e-03         0.399
FLNS              55.893              55.765             0.128         2.089
FLNSC             81.605              81.591             0.014         1.489
FLNT             239.458             239.700            -0.242         2.147
FLNTC            262.704             262.761            -0.057         0.921
FSDS             180.595             180.439             0.156         4.038
FSDSC            234.251             234.205             0.045         0.945
FSNS             161.072             160.933             0.139         3.638
FSNSC            209.004             208.969             0.035         1.603
FSNSC_ICE         56.795              55.670             1.125         2.726
FSNSC_LAND       215.327             215.378            -0.051         2.717
FSNT             236.348             236.233             0.115         3.202
FSNTC            279.973             279.942             0.032         1.372
ICEAREA           21.458              21.458             0.000         0.000
LHFLX             86.378              86.421            -0.043         5.302
LWCF              23.246              23.061             0.185         1.674
PRECT              2.950               2.949             0.001         0.383
PRECT_LAND         2.636               2.612             0.024         0.382
PRECT_OCEAN        3.192               3.198            -0.006         0.396
PREH2O            26.133              26.127             0.006         0.539
PREH2O_OCEAN      28.962              28.970            -0.008         0.542
PSI_200           -0.032              -0.033             0.000         0.133
PS               985.447             985.446             0.001         0.861
PSL             1011.124            1011.120             0.004         0.925
QFLX               2.956               2.957            -0.001         0.160
SHFLX             23.049              23.143            -0.094         2.312
SNOWHLND          97.377              97.415            -0.038         2.164
SST               19.945              19.945             0.000         0.006
STRESS_MAG         0.078               0.078            -0.000         0.010
SWCF             -43.625             -43.709             0.084         3.252
T_850            281.920             281.953            -0.033         0.339
TGCLDLWP          61.165              61.793            -0.627         5.791
TGCLDIWP          13.265              13.137             0.128         1.774
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.156               0.158            -0.001         0.020
AODDUST            0.042               0.043            -0.001         0.017
TREFHT           288.838             288.823             0.015         0.399
TS               289.962             289.937             0.025         0.431
TS_LAND          287.737             287.661             0.076         0.780
U_200             12.400              12.379             0.021         1.145
VT_850             0.933               0.957            -0.024         1.086
Z3_500            56.938              56.939            -0.002         0.101
