DIAG SET 1: DJF MEANS SOUTHERN EXTRATROPICS (90S-20S)
 
TEST CASE: LU2000.FHIST.ne30_ne30_wtopo_8thMOSART_branch (yrs 1985-1993)
 
CONTROL CASE: LU1850.FHIST.ne30_ne30_wtopo_8thMOSART_3_branch2 (yrs 1985-1993)
 
Variable    LU2000.FHIST.ne30_ne30_wtopo_8thMOSART_branch  LU1850.FHIST.ne30_ne30_wtopo_8thMOSART_3_branch2  LU2000.FHIST.ne30_ne30_wtopo_8thMOSART_branch        RMSE
                                                      -LU1850.FHIST.ne30_ne30_wtopo_8thMOSART_3_branch2
RESTOM            76.786              75.952             0.834         3.645
RESSURF           87.789              87.573             0.217         7.865
SOLIN            471.718             471.718             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -3.083              -3.119             0.036         0.589
CLDHGH            37.256              37.032             0.224         3.059
CLDLOW            52.125              52.422            -0.296         2.139
CLDMED            31.264              31.014             0.250         2.249
CLDTOT            71.204              71.067             0.137         2.863
EKE_850           38.473              38.539            -0.065         3.330
EP            -1.401e-01          -1.653e-01         2.519e-02         0.421
FLNS              49.424              49.440            -0.016         2.631
FLNSC             84.120              84.347            -0.227         1.943
FLNT             236.271             236.485            -0.214         2.642
FLNTC            255.597             255.707            -0.110         0.990
FSDS             254.365             253.817             0.547         5.893
FSDSC            352.960             353.108            -0.148         0.883
FSNS             213.634             213.031             0.604         5.085
FSNSC            303.483             303.618            -0.135         1.372
FSNSC_ICE        159.648             163.911            -4.263         8.897
FSNSC_LAND       188.184             188.686            -0.502         1.455
FSNT             313.057             312.437             0.620         4.198
FSNTC            391.570             391.590            -0.019         1.300
ICEAREA            4.466               4.466             0.000         0.000
LHFLX             62.138              61.664             0.474         6.132
LWCF              19.326              19.222             0.104         1.857
PRECT              2.271               2.283            -0.012         0.369
PRECT_LAND         2.310               2.240             0.070         0.544
PRECT_OCEAN        2.297               2.330            -0.033         0.324
PREH2O            20.301              20.166             0.135         0.930
PREH2O_OCEAN      21.557              21.532             0.025         0.715
PSI_200            6.730               6.850            -0.120         0.220
PS               982.612             982.727            -0.115         0.873
PSL             1006.299            1006.416            -0.117         0.881
QFLX               2.131               2.118             0.013         0.179
SHFLX             14.283              14.354            -0.071         2.026
SNOWHLND         437.388             437.358             0.029         0.912
SST               14.600              14.600             0.000         0.005
STRESS_MAG         0.086               0.086             0.000         0.008
SWCF             -78.513             -79.153             0.639         4.368
T_850            278.158             278.110             0.048         0.360
TGCLDLWP          83.008              83.853            -0.845         6.444
TGCLDIWP           8.770               8.563             0.207         1.720
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.110               0.109             0.001         0.007
AODDUST            0.004               0.004             0.001         0.003
TREFHT           284.096             284.113            -0.017         0.283
TS               284.800             284.806            -0.006         0.289
TS_LAND          275.666             275.716            -0.050         0.697
U_200             18.991              19.096            -0.105         1.740
VT_850            -0.280              -0.269            -0.011         1.474
Z3_500            55.722              55.733            -0.010         0.114
