DIAG SET 1: SON MEANS SOUTHERN EXTRATROPICS (90S-20S)
 
TEST CASE: LU2000.FHIST.ne30_ne30_wtopo_8thMOSART_branch (yrs 1985-1993)
 
CONTROL CASE: LU1850.FHIST.ne30_ne30_wtopo_8thMOSART_3_branch2 (yrs 1985-1993)
 
Variable    LU2000.FHIST.ne30_ne30_wtopo_8thMOSART_branch  LU1850.FHIST.ne30_ne30_wtopo_8thMOSART_3_branch2  LU2000.FHIST.ne30_ne30_wtopo_8thMOSART_branch        RMSE
                                                      -LU1850.FHIST.ne30_ne30_wtopo_8thMOSART_3_branch2
RESTOM            16.420              16.110             0.309         2.429
RESSURF           28.076              27.944             0.132         6.041
SOLIN            367.363             367.363             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200            1.431               1.442            -0.010         0.487
CLDHGH            38.533              38.287             0.245         2.308
CLDLOW            56.161              56.532            -0.371         1.798
CLDMED            34.068              33.843             0.225         1.727
CLDTOT            73.811              73.918            -0.107         1.852
EKE_850           50.675              50.500             0.176         3.170
EP             2.478e-02           2.278e-02         2.001e-03         0.255
FLNS              52.269              51.938             0.332         1.603
FLNSC             89.930              89.815             0.115         1.030
FLNT             223.399             223.376             0.023         1.559
FLNTC            243.903             243.785             0.117         0.618
FSDS             198.666             198.199             0.467         3.557
FSDSC            274.348             274.495            -0.147         0.578
FSNS             163.628             163.265             0.363         3.255
FSNSC            230.654             230.850            -0.196         0.811
FSNSC_ICE         64.018              64.146            -0.128         0.716
FSNSC_LAND       150.144             150.798            -0.654         1.718
FSNT             239.819             239.486             0.332         2.749
FSNTC            298.110             298.289            -0.179         0.670
ICEAREA           14.560              14.560             0.000         0.000
LHFLX             66.252              66.256            -0.003         4.398
LWCF              20.504              20.409             0.095         1.207
PRECT              2.201               2.203            -0.002         0.239
PRECT_LAND         1.323               1.356            -0.033         0.241
PRECT_OCEAN        2.459               2.452             0.007         0.248
PREH2O            14.593              14.677            -0.084         0.395
PREH2O_OCEAN      16.806              16.869            -0.063         0.374
PSI_200            7.441               7.323             0.118         0.163
PS               981.922             982.025            -0.103         0.707
PSL             1006.030            1006.129            -0.099         0.715
QFLX               2.225               2.225             0.000         0.135
SHFLX             17.030              17.128            -0.098         1.700
SNOWHLND         437.503             437.493             0.010         0.907
SST               12.754              12.754             0.001         0.008
STRESS_MAG         0.106               0.107            -0.001         0.010
SWCF             -58.291             -58.802             0.511         2.807
T_850            273.625             273.639            -0.013         0.302
TGCLDLWP          75.020              76.680            -1.660         5.178
TGCLDIWP          10.070               9.853             0.217         1.223
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.100               0.096             0.003         0.010
AODDUST            0.005               0.002             0.002         0.008
TREFHT           279.159             279.150             0.009         0.202
TS               279.993             279.978             0.014         0.216
TS_LAND          265.366             265.342             0.024         0.472
U_200             26.500              26.550            -0.050         1.087
VT_850            -0.585              -0.583            -0.001         0.851
Z3_500            54.696              54.711            -0.015         0.080
